"","cutoff","2.5%_excl","5%_excl","50%_excl","95%_excl","97.5%_excl","2.5%_incl","5%_incl","50%_incl","95%_incl","97.5%_incl","obs","zone","povline"
"36","80","0","0","0","0","0","0.983286908077994","0.983783783783784","0.991428571428571","0.997275574576472","0.997333333333333","500","rural","poor_npl1"
"37","85","0","0","0","0","0","0.991803278688525","0.991913746630728","0.997260273972603","1","1","500","rural","poor_npl1"
"38","90","0","0","0","0","0","0.994475138121547","0.994534770566659","0.997311827956989","1","1","500","rural","poor_npl1"
"39","95","0","0","0","0","0","1","1","1","1","1","500","rural","poor_npl1"
"40","5","1","1","1","1","1","0","0","0","0","0","100","urban","poor_npl1"
"41","10","1","1","1","1","1","0","0","0","0","0","100","urban","poor_npl1"
"42","15","1","1","1","1","1","0","0","0","0","0","100","urban","poor_npl1"
"43","20","0.833333333333333","0.857142857142857","1","1","1","0","0","0","0.010989010989011","0.0112359550561798","100","urban","poor_npl1"
"44","25","0.666666666666667","0.75","0.909090909090909","1","1","0","0","0","0.0112359550561798","0.0117647058823529","100","urban","poor_npl1"
"45","30","0.4","0.5","0.75","1","1","0","0","0.0106382978723404","0.0224719101123595","0.032258064516129","100","urban","poor_npl1"
"46","35","0.4","0.5","0.75","1","1","0","0","0.021505376344086","0.043956043956044","0.0520833333333333","100","urban","poor_npl1"
"47","40","0.285714285714286","0.333333333333333","0.6","0.888888888888889","1","0.0104166666666667","0.010752688172043","0.0340909090909091","0.0666666666666667","0.0760869565217391","100","urban","poor_npl1"
"48","45","0.125","0.166666666666667","0.454545454545455","0.75","0.8","0.0224719101123595","0.0326086956521739","0.074468085106383","0.117021276595745","0.123595505617978","100","urban","poor_npl1"
"49","50","0","0","0.333333333333333","0.6","0.666666666666667","0.0618398905954134","0.0659340659340659","0.117021276595745","0.174008600095557","0.1875","100","urban","poor_npl1"
"50","55","0","0","0.25","0.5","0.6","0.120846273291925","0.135416666666667","0.197802197802198","0.263736263736264","0.279569892473118","100","urban","poor_npl1"
"51","60","0","0","0.142857142857143","0.4","0.444444444444444","0.195652173913043","0.211081871345029","0.279569892473118","0.355555555555556","0.366739130434783","100","urban","poor_npl1"
"52","65","0","0","0.111111111111111","0.308974358974358","0.333333333333333","0.326086956521739","0.33695652173913","0.414893617021277","0.494623655913978","0.50561797752809","100","urban","poor_npl1"
"53","70","0","0","0.111111111111111","0.308974358974358","0.333333333333333","0.419336084021005","0.440860215053763","0.516129032258065","0.595744680851064","0.608695652173913","100","urban","poor_npl1"
"54","75","0","0","0","0.25","0.285714285714286","0.566630434782609","0.582417582417582","0.659340659340659","0.732558139534884","0.741582094961943","100","urban","poor_npl1"
"55","80","0","0","0","0.142857142857143","0.166666666666667","0.673913043478261","0.688172043010753","0.757894736842105","0.821111111111111","0.833333333333333","100","urban","poor_npl1"
"56","85","0","0","0","0","0","0.793056081849185","0.804246713852376","0.861702127659574","0.91304347826087","0.922222222222222","100","urban","poor_npl1"
"57","90","0","0","0","0","0","0.887640449438202","0.901098901098901","0.936842105263158","0.969387755102041","0.978260869565217","100","urban","poor_npl1"
"58","95","0","0","0","0","0","0.946794211850835","0.955555555555556","0.978260869565217","1","1","100","urban","poor_npl1"
"59","5","1","1","1","1","1","0","0","0","0","0","500","urban","poor_npl1"
"60","10","1","1","1","1","1","0","0","0","0","0","500","urban","poor_npl1"
"61","15","1","1","1","1","1","0","0","0","0","0","500","urban","poor_npl1"
"62","20","0.972222222222222","0.972972972972973","0.975","1","1","0","0","0.00217391304347826","0.00218818380743982","0.00218818380743982","500","urban","poor_npl1"
"63","25","0.891891891891892","0.894736842105263","0.904761904761905","0.928571428571429","0.945981507823613","0.00215982721382289","0.00216919739696312","0.00434782608695652","0.00437636761487965","0.00437636761487965","500","urban","poor_npl1"
"64","30","0.717948717948718","0.717948717948718","0.75","0.783783783783784","0.794871794871795","0.00652173913043478","0.0065495048092017","0.0108459869848156","0.0109409190371991","0.0109409190371991","500","urban","poor_npl1"
"65","35","0.717948717948718","0.717948717948718","0.75","0.783783783783784","0.794871794871795","0.0172786177105832","0.0173913043478261","0.0217864923747277","0.0240174672489083","0.0240700218818381","500","urban","poor_npl1"
"66","40","0.575","0.578947368421053","0.611111111111111","0.65","0.666666666666667","0.0305676855895196","0.0325379609544469","0.037199124726477","0.0413943355119826","0.0413943355119826","500","urban","poor_npl1"
"67","45","0.41025641025641","0.414634146341463","0.452380952380952","0.5","0.5","0.0652173913043478","0.0672378416955424","0.0739130434782609","0.0784313725490196","0.0797456850003724","500","urban","poor_npl1"
"68","50","0.297297297297297","0.307692307692308","0.341463414634146","0.375","0.384615384615385","0.109164359581775","0.110869565217391","0.119176737940295","0.125541125541126","0.126637554585153","500","urban","poor_npl1"
"69","55","0.205128205128205","0.214285714285714","0.25","0.282051282051282","0.282051282051282","0.186397100706311","0.188183807439825","0.198257080610022","0.206521739130435","0.207886598916825","500","urban","poor_npl1"
"70","60","0.125","0.128205128205128","0.162790697674419","0.184210526315789","0.184334992887624","0.269565217391304","0.27114967462039","0.281385281385281","0.291042241461326","0.292841648590022","500","urban","poor_npl1"
