"","hh_id","hh_weight","urban","poor_npl1","pred_score_pr_full"
"41",3011001806040,7237.576171875,0,1,0.311954215037774
"42",3050101504175,6536.767578125,0,1,0.237200565734731
"43",7021001401015,4696.45263671875,0,1,0.782959456629758
"44",13010100905033,318.431823730469,0,0,0.215212716123316
"45",4100903605009,15875.5830078125,0,0,0.0812818851111033
"46",2030600601018,565.867980957031,0,1,0.383018161528047
"47",7070600103095,3887.69897460938,1,1,0.699108930149834
"48",3070300105167,8399.9189453125,0,0,0.237200565734731
"49",15010202404052,376.618011474609,0,0,0.311954215037774
"50",7180100101013,714.294006347656,0,0,0.325600696904125
"51",7080100401064,1221.73303222656,0,0,0.490796364694889
"52",1040500701158,2148.28833007812,0,1,0.325600696904125
"53",5010401102271,263.794097900391,0,0,0.194742724452781
"54",3120100504096,158.107955932617,0,1,0.459460333829832
"55",3020100703001,8644.3046875,0,1,0.629207034764656
"56",13010100405111,163.318771362305,0,0,0.0812818851111033
"57",2030600601134,565.867980957031,0,0,0.658026779809527
"58",3020703703035,7644.05078125,0,0,0.0911760241725046
"59",1040101204081,2849.8271484375,0,1,0.248759228738413
"60",4140501906018,7351.91748046875,0,0,0.325600696904125
"61",4130600204095,7094.3955078125,0,0,0.0261050438575477
"62",4011300501093,9507.2978515625,0,0,0.0606939154796012
"63",4080600802079,8614.1142578125,0,1,0.272982270105484
"64",5010100902027,307.134521484375,0,0,0.311954215037774
"65",3020202508131,6181.556640625,0,1,0.325600696904125
"66",7170301401018,750.913024902344,0,0,0.325600696904125
"67",3011001806059,7237.576171875,0,1,0.36827934952904
"68",7120101602021,596.91943359375,0,1,0.339549543623035
"69",1020601301162,3835.10131835938,0,1,0.204787886796528
"70",1050302304015,1060.61352539062,0,0,0.0723759226566892
"71",6030304202028,3318.89135742188,0,1,0.175783631466854
"72",15010202801127,374.075500488281,0,1,0.120774345836593
"73",7011202605064,5791.6826171875,0,0,0.311954215037774
"74",15010201201148,272.025665283203,0,0,0.428441626477075
"75",4040101103164,14833.2236328125,0,0,0.298626420211787
"76",7010300404175,3584.54711914062,0,0,0.248759228738413
"77",2010300802078,450.185211181641,0,0,0.443896311786123
"78",3070401302087,5776.54296875,0,0,0.0572083042821662
"79",12040101602037,276.605377197266,0,0,0.443896311786123
"80",6020701002119,2358.94262695312,0,0,0.339549543623035
"81",1010600402021,3426.1669921875,0,0,0.298626420211787
"82",7140100402068,352.107818603516,0,0,0.226017394913385
"83",7150104404107,1436.97644042969,0,1,0.614429025282023
"84",6040500203089,663.745544433594,0,1,0.506507046215247
"85",4140501906138,7351.91748046875,0,1,0.204787886796528
"86",7080300206127,1479.83032226562,0,0,0.134770555870838
"87",3030801617018,5348.39794921875,0,0,0.150111824465392
"88",4110801402022,8612.818359375,0,0,0.0812818851111033
"89",3070502405192,5481.625,0,0,0.150111824465392
"90",3040301401065,10250.4267578125,0,1,0.36827934952904
"91",3030501101087,4724.1357421875,0,1,0.14226878943754
"92",7090900601150,3972.13989257812,0,1,0.248759228738413
"93",4060501004128,14205.49609375,0,0,0.0861003092873247
"94",5020201001032,1808.38513183594,0,0,0.134770555870838
"95",7110400302102,3020.80981445312,1,1,0.614429025282023
"96",4050803103130,32753.236328125,0,0,0.0539113803165359
"97",5010301101027,297.9873046875,0,0,0.353782483299006
"98",3010100204114,9197.3388671875,0,1,0.599436989726895
"99",3052100808133,6962.7998046875,0,1,0.16686264091291
"100",7190102302020,642.417358398438,0,0,0.248759228738413
"101",3041402101187,8247.173828125,0,0,0.185075615965768
"102",3071301304168,7887.3623046875,0,1,0.475103841858007
"103",7140100402231,52.8917350769043,0,0,0.0132488542086139
"104",7170402501078,1470.876953125,0,0,0.339549543623035
"105",7080100401106,1221.73303222656,0,0,0.215212716123316
"106",4190400101125,4982.833984375,0,0,0.134770555870838
"107",4060501004001,14205.49609375,0,0,0.114258062802975
"108",4190800704142,5205.2216796875,0,0,0.0450648997418045
"109",3061102207033,11540.9443359375,0,1,0.311954215037774
"110",4130901003124,9283.5576171875,0,0,0.215212716123316
