"household_id","household_id2","rural","pw_w3","ea_id","ea_id2","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s14q00","hh_s14q02_a","hh_s14q02_b","hh_s14q03_a","hh_s14q03_b","hh_s14q04","hh_s14q05_a","hh_s14q05_b","hh_s14q05b","hh_s14q06","hh_s14q07_a","hh_s14q07_b","hh_s14q08_a","hh_s14q08_b","hh_s14q08_c"
"01030900101081","010309010100101081",3,1902.123046875,"01030900101","010309010100101",1,3,9,1,1,1,1,81,1,"**CONFIDENTIAL**",4,1,,5,6,2008,3,2,1,2009,2000,0,2000
"01030900101091","010309010100101091",3,1902.123046875,"01030900101","010309010100101",1,3,9,1,1,1,1,91,1,"**CONFIDENTIAL**",4,1,,7,4,2008,8,2,10,2008,1500,0,1500
"01040101204022","010401088801204022",1,2849.8271484375,"01040101204","010401088801204",1,4,1,8,88,12,4,22,1,"**CONFIDENTIAL**",1,4,,2,1,2008,8,2,1,2009,1000,50,1050
"01040101204063","010401088801204063",1,2849.8271484375,"01040101204","010401088801204",1,4,1,8,88,12,4,63,1,"**CONFIDENTIAL**",1,2,,2,10,2007,8,2,10,2008,1590,75,1665
"01040101204081","010401088801204081",1,2849.8271484375,"01040101204","010401088801204",1,4,1,8,88,12,4,81,1,"**CONFIDENTIAL**",9,1,2,2,10,2007,8,2,10,2008,1920,280,2200
"01040101204154","010401088801204154",1,2849.8271484375,"01040101204","010401088801204",1,4,1,8,88,12,4,154,1,"**CONFIDENTIAL**",1,1,2,7,4,2008,7,1,,,300,0,300
"01040101204172","010401088801204172",1,2849.8271484375,"01040101204","010401088801204",1,4,1,8,88,12,4,172,1,"**CONFIDENTIAL**",10,1,,2,10,2007,8,1,,,1363,80,1443
"01040300404106","010403088800404106",1,3076.44262695313,"01040300404","010403088800404",1,4,3,8,88,4,4,106,1,"**CONFIDENTIAL**",7,1,2,7,9,2007,6,2,9,2009,10000,3000,13000
"01040400103001","010404088800103001",1,1680.24951171875,"01040400103","010404088800103",1,4,4,8,88,1,3,1,1,"**CONFIDENTIAL**",7,1,2,2,6,2008,3,2,6,2009,10000,1800,11800
"01040400103016","010404088800103016",1,1680.24951171875,"01040400103","010404088800103",1,4,4,8,88,1,3,16,1,"**CONFIDENTIAL**",7,1,,2,5,2007,3,2,5,2009,4000,720,4720
"01040400103047","010404088800103047",1,1680.24951171875,"01040400103","010404088800103",1,4,4,8,88,1,3,47,1,"**CONFIDENTIAL**",7,1,2,3,6,2008,3,2,6,2008,5000,900,5900
"01040400103062","010404088800103062",1,1680.24951171875,"01040400103","010404088800103",1,4,4,8,88,1,3,62,1,"**CONFIDENTIAL**",7,1,2,2,10,2007,3,2,6,2009,8000,1440,9440
"01040400103092","010404088800103092",1,1680.24951171875,"01040400103","010404088800103",1,4,4,8,88,1,3,92,1,"**CONFIDENTIAL**",7,1,,7,8,2007,3,2,8,2009,6000,1080,7080
"01040400103107","010404088800103107",1,1680.24951171875,"01040400103","010404088800103",1,4,4,8,88,1,3,107,1,"**CONFIDENTIAL**",7,1,,2,8,2007,3,2,8,2009,6000,1080,7080
"01040400103122","010404088800103122",1,1680.24951171875,"01040400103","010404088800103",1,4,4,8,88,1,3,122,1,"**CONFIDENTIAL**",7,1,,7,4,2007,3,2,4,2009,7000,1260,8260
"01040500701062","010405088800701062",1,453.863739013672,"01040500701","010405088800701",1,4,5,8,88,7,1,62,1,"**CONFIDENTIAL**",2,1,,7,1,2008,8,2,6,2008,350,0,350
"01040500701179","010405088800701179",1,2148.28833007813,"01040500701","010405088800701",1,4,5,8,88,7,1,179,1,"**CONFIDENTIAL**",1,1,,7,6,2008,8,2,12,2008,600,0,600
"01040600803155","010406088800803155",1,1324.76440429688,"01040600803","010406088800803",1,4,6,8,88,8,3,155,1,"**CONFIDENTIAL**",1,1,,6,1,2008,8,2,8,2008,1500,0,1500
"01040800402020","010408088800402020",1,3399.5146484375,"01040800402","010408088800402",1,4,8,8,88,4,2,20,1,"**CONFIDENTIAL**",7,1,,7,1,2008,7,2,1,2010,4000,480,4480
"01040800402054","010408088800402054",1,3399.5146484375,"01040800402","010408088800402",1,4,8,8,88,4,2,54,1,"**CONFIDENTIAL**",7,1,,2,2,2008,7,2,2,2009,4000,480,4480
"01040800402167","010408088800402167",1,3399.5146484375,"01040800402","010408088800402",1,4,8,8,88,4,2,167,1,"**CONFIDENTIAL**",1,2,,2,8,2007,7,2,8,2008,600,0,600
"01040900306001","010409010100306001",3,2794.93505859375,"01040900306","010409010100306",1,4,9,1,1,3,6,1,1,"**CONFIDENTIAL**",7,1,2,4,1,2008,3,2,1,2010,20000,2000,22000
"01040900306012","010409010100306012",3,2794.93505859375,"01040900306","010409010100306",1,4,9,1,1,3,6,12,1,"**CONFIDENTIAL**",7,1,,1,12,2007,3,2,12,2009,20000,2000,22000
"01040900306045","010409010100306045",3,2794.93505859375,"01040900306","010409010100306",1,4,9,1,1,3,6,45,1,"**CONFIDENTIAL**",1,1,,5,2,2007,8,2,,,5000,0,5000
"01040900306056","010409010100306056",3,2794.93505859375,"01040900306","010409010100306",1,4,9,1,1,3,6,56,1,"**CONFIDENTIAL**",7,2,,6,9,2007,3,2,9,2009,10000,1000,11000
"01040900306078","010409010100306078",3,2794.93505859375,"01040900306","010409010100306",1,4,9,1,1,3,6,78,1,,7,1,2,6,7,2007,3,2,6,2011,20000,2000,22000
"01040900306089","010409010100306089",3,2794.93505859375,"01040900306","010409010100306",1,4,9,1,1,3,6,89,2,"**CONFIDENTIAL**",7,1,2,4,3,2007,3,2,2,2010,20000,2000,22000
"01040900306144","010409010100306144",3,2794.93505859375,"01040900306","010409010100306",1,4,9,1,1,3,6,144,1,"**CONFIDENTIAL**",7,1,,5,8,2007,3,2,8,2009,20000,2000,22000
"01040900306155","010409010100306155",3,2794.93505859375,"01040900306","010409010100306",1,4,9,1,1,3,6,155,1,"**CONFIDENTIAL**",7,1,2,5,1,2007,3,2,1,2011,20000,2000,22000
"01050100105019","010501020100105019",3,2317.76318359375,"01050100105","010501020100105",1,5,1,2,1,1,5,19,1,"**CONFIDENTIAL**",7,1,,2,6,2007,6,2,7,2008,42000,4200,46200
"01050100105031","010501020100105031",3,2317.76318359375,"01050100105","010501020100105",1,5,1,2,1,1,5,31,1,"**CONFIDENTIAL**",1,1,,2,10,2007,8,1,,,18000,1800,19800
"01050100105055","010501020100105055",3,2317.76318359375,"01050100105","010501020100105",1,5,1,2,1,1,5,55,1,"**CONFIDENTIAL**",7,1,,4,10,2007,6,2,6,2008,7000,700,7700
"01050100105067","010501020100105067",3,2317.76318359375,"01050100105","010501020100105",1,5,1,2,1,1,5,67,1,"**CONFIDENTIAL**",7,1,,2,8,2007,6,2,7,2008,2000,200,2200
"01050100105079","010501020100105079",3,2317.76318359375,"01050100105","010501020100105",1,5,1,2,1,1,5,79,1,"**CONFIDENTIAL**",7,1,,3,10,2007,6,2,6,2008,10000,1000,11000
