"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs6q01","cs6q02_a","cs6q02_b","cs6q02_c","cs6q03_a","cs6q03_b","cs6q03_c","cs6q04_a","cs6q04_b","cs6q04_c","cs6q05","cs6q06","cs6q07","cs6q07_b","cs6q07_c","cs6q08","cs6q09","cs6q10","cs6q11","cs6q12","cs6q13","cs6q14","cs6q15","cs6q16_a","cs6q16_b","cs6q16_c","cs6q16_d","cs6q17_a","cs6q17_b","cs6q17_c","cs6q17_d","cs6q18_a","cs6q18_b","cs6q18_c","cs6q18_d","cs6q18_e","cs6q18_f","cs6q18_g","cs6q18_h"
"010602010100113","01060200113",1,6,2,1,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010602010100519","01060200519",1,6,2,1,1,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"020102010100102","02010200102",2,1,2,1,1,1,2,1,,,,,,,,,,3,3,1,,,,,2,,4,4,4,3,9,9,9,9,9,9,9,9,9,9,3,9,4,4,9,5
"020103088800102","02010300102",2,1,3,8,88,1,2,1,,,,,,,,,,,,,,,,,2,,,,,,9,9,9,9,9,3,9,4,9,9,3,9,4,3,3,4
"020103010100204","02010300204",2,1,3,1,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"020103088800601","02010300601",2,1,3,8,88,6,1,1,,,,2,1,,6,10,,2,2,2,,,1,,1,1200,4,1,1,1,9,1,1,3,5,4,3,4,2,2,9,2,4,4,3,4
"020103088800802","02010300802",2,1,3,8,88,8,2,1,,,,2,2,1,8,8,10,2,2,2,,,1,,1,650,4,,1,1,9,1,3,9,4,3,3,3,5,5,9,5,5,5,3,4
"020104088800201","02010400201",2,1,4,8,88,2,1,1,,,,2,2,1,6,6,11,2,2,2,,,1,,1,652,1,1,1,1,9,1,1,3,5,4,3,4,2,2,3,2,4,4,3,4
"020105088800404","02010500404",2,1,5,8,88,4,4,1,,,,,,,,,,2,3,3,,,2,26,2,,4,4,4,,3,3,3,3,3,3,3,3,9,9,9,9,2,2,3,4
"020105088801103","02010501103",2,1,5,8,88,11,3,1,,,,,,,,,,2,3,1,,,1,,2,,4,4,4,,9,9,9,9,9,9,9,4,9,9,9,9,2,1,3,4
"020106088800402","02010600402",2,1,6,8,88,4,2,1,2,,,10,3,4,8,9,,3,3,1,,,2,12,1,120,4,4,1,1,3,2,1,3,1,1,3,2,4,3,3,9,2,1,3,3
"020301030100101","02030100101",2,3,1,3,1,1,1,1,76,73,58,10,12,12,10,1,1,3,3,4,,,1,,1,50,1,2,3,1,3,3,1,3,3,3,2,3,2,2,3,9,2,1,4,3
"020302088800102","02030200102",2,3,2,8,88,1,2,1,58,2,,4,3,,7,7,,3,3,3,,,1,,1,170,1,2,1,1,1,1,2,2,4,4,9,4,4,5,9,9,1,4,5,4
"020304088800601","02030400601",2,3,4,8,88,6,1,1,2,58,,10,12,,1,1,,3,3,3,,,1,,1,10,2,2,3,1,3,2,1,3,1,4,3,3,1,1,3,2,2,1,3,9
"020306088800601","02030600601",2,3,6,8,88,6,1,1,6,7,9,8,11,,3,4,,3,3,3,,,2,25,2,,1,2,2,1,1,2,2,2,1,4,9,1,1,1,9,9,1,1,2,9
"030101088800204","03010100204",3,1,1,8,88,2,4,1,6,3,27,9,10,10,4,3,2,3,3,2,,,1,,1,115,3,1,3,1,3,3,2,3,4,4,4,4,4,3,4,4,5,5,5,3
"030104088800901","03010400901",3,1,4,8,88,9,1,1,3,6,7,10,9,10,3,2,3,3,2,1,,,1,,1,122,3,3,3,1,3,3,3,3,1,1,1,1,2,2,4,4,3,4,4,2
