"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs3q01","cs3q02","cs3q03","cs3q04_a","cs3q04a_oth","cs3q04_b","cs3q04_c","cs3q04c_oth","cs3q04_d","cs3q04_e","cs3q04e_oth","cs3q04_f","cs3q06","cs3q07","cs3q07_oth","cs3q08","cs3q09","cs3q10","scsq11","cs3q12_a","cs3q12_b","cs3q12_c","cs3q12_d","cs3q12_e","cs3q12_f"
"030418010100807","03041800807",3,4,18,1,1,8,7,1,36789,6040,4,,3926,1,,1872,3,,242,5,3,,3,0,0,15,1,65,2,31,3,4
"030501088801504","03050101504",3,5,1,8,88,15,4,2,4744,854,1,,650,4,,204,,,,0,2,,5,5,2,17,1,15,3,1,,
"030504088800305","03050400305",3,5,4,8,88,3,5,4,4611,944,1,,4611,,,,,,,0,2,,2,4,0,6,1,944,,,,
"030507088801204","03050701204",3,5,7,8,88,12,4,2,7522,1305,1,,946,4,,300,8,,20,0,2,,5,34,0,8,1,100,,,,
"030508010100106","03050800106",3,5,8,1,1,1,6,1,5806,1168,4,,600,1,,498,3,,70,1,1,,2,1,0,1,1,60,2,30,3,10
"030509020100104","03050900104",3,5,9,2,1,1,4,1,23488,14218,1,,90,3,,10,,,,0,3,,1,3,0,0,1,60,2,30,3,10
"030511088800307","03051100307",3,5,11,8,88,3,7,1,2359,305,1,,305,,,,,,,0,2,,5,0,0,0,1,96,3,4,,
"030513088800702","03051300702",3,5,13,8,88,7,2,2,8500,1449,1,,8075,,,,,,,0,2,,1,5,0,5,1,97,3,3,,
"030515088800703","03051500703",3,5,15,8,88,7,3,2,2571,556,1,,556,4,,20,,,,0,2,,5,33,0,5,1,480,1,20,,
"030521088800808","03052100808",3,5,21,8,88,8,8,2,7271,1204,1,,100,,,,,,,0,2,,3,2,0,0,1,100,,,,
"030602088802603","03060202603",3,6,2,8,88,26,3,2,9115,1711,1,,1711,,,,,,,1,2,,1,14,0,6,1,99,3,1,,
"030604010100202","03060400202",3,6,4,1,1,2,2,1,8808,2202,1,,2202,,,,,,,10,3,,5,40,0,35,2,80,1,18,3,2
"030604088802001","03060402001",3,6,4,8,88,20,1,2,4429,1047,1,,1042,4,,5,,,,0,2,,3,2,0,15,1,99,3,1,,
"030606088802103","03060602103",3,6,6,8,88,21,3,2,7575,1900,1,,7575,,,,,,,0,2,,1,0,0,25,1,99,3,1,,
"030609088801807","03060901807",3,6,9,8,88,18,7,4,5000,1500,1,,5000,,,,,,,0,2,,1,25,0,10,1,75,3,25,,
"030611088802207","03061102207",3,6,11,8,88,22,7,1,7186,1611,1,,7186,,,,,,,1,2,,3,15,0,30,1,99,3,1,,
"030614010100105","03061400105",3,6,14,1,1,1,5,2,10258,649,1,,70,4,,30,,,,1,6,,1,0,0,0,1,98,2,2,,
"030616088801207","03061601207",3,6,16,8,88,12,7,2,7537,1518,1,,1518,,,,,,,0,2,,2,0,39,8,1,95,2,5,,
"030701088801406","03070101406",3,7,1,8,88,14,6,2,8915,1564,1,,1564,,,,,,,0,2,,1,0,0,2,1,97,3,3,,
"030703088800105","03070300105",3,7,3,8,88,1,5,2,8838,1525,1,,1505,4,,20,,,,0,2,,1,13,0,4,1,100,,,,
"030704088801302","03070401302",3,7,4,8,88,13,2,1,9688,1386,1,,9688,,,,,,,0,2,,1,0,0,23,1,90,3,10,,
"030705010100105","03070500105",3,7,5,1,1,1,5,1,10000,10000,1,,10000,,,,,,,0,3,,1,2,0,0,1,999,2,999,3,300
"030705088802405","03070502405",3,7,5,8,88,24,5,4,4433,855,1,,4433,,,,,,,0,2,,1,3,0,8,1,999,3,50,,
"030708020100211","03070800211",3,7,8,2,1,2,11,1,12300,9272,1,,8867,4,,400,3,,5,10,3,,1,25,0,25,1,75,2,15,3,10
"030708088801402","03070801402",3,7,8,8,88,14,2,2,2240,560,1,,560,,,,,,,0,2,,1,25,0,0,1,100,,,,
"030710088801703","03071001703",3,7,10,8,88,17,3,4,7124,1657,1,,7124,,,,,,,2,2,,1,0,0,2,1,999,3,25,,
"030713088801304","03071301304",3,7,13,8,88,13,4,2,7232,1509,1,,1504,2,,5,,,,0,2,,1,0,0,5,1,95,3,5,,
"030802088801503","03080201503",3,8,2,8,88,15,3,1,5644,1128,1,,1123,4,,4,3,,1,0,2,,3,12,0,5,1,100,,,,
"030803010100107","03080300107",3,8,3,1,1,1,7,1,8560,1718,1,,1692,4,,26,,,,0,3,,1,3,0,1,1,99,2,1,,
"030803088800603","03080300603",3,8,3,8,88,6,3,1,5041,1111,1,,1111,,,,,,,0,2,,3,12,0,2,1,100,,,,
"030804088800503","03080400503",3,8,4,8,88,5,3,2,3143,591,1,,591,,,,,,,0,2,,3,10,0,3,1,100,,,,
"030901088801202","03090101202",3,9,1,8,88,12,2,4,4523,915,1,,915,,,,,,,0,2,,5,5,0,6,1,95,3,5,,
"030902088802501","03090202501",3,9,2,8,88,25,1,2,4283,830,1,,4283,,,,,,,1,1,,1,40,0,13,1,100,,,,
"030902088803201","03090203201",3,9,2,8,88,32,1,4,4494,975,1,,4495,,,,,,,0,2,,5,5,0,20,1,999,3,30,,
"030903080100101","03090300101",3,9,3,8,1,1,1,1,11800,2560,1,,2550,3,,10,,,,1,3,,1,0,0,0,1,80,3,12,2,8
"030904088800702","03090400702",3,9,4,8,88,7,2,2,7832,1069,1,,7832,,,,,,,2,2,,2,15,0,30,1,100,,,,
"030905088801102","03090501102",3,9,5,8,88,11,2,2,10000,2000,1,,2000,,,,,,,3,2,,1,2,0,25,1,96,2,3,3,1
"030906020100105","03090600105",3,9,6,2,1,1,5,1,11752,2671,1,,2300,4,,200,3,,171,2,3,,1,0,0,2,1,80,3,20,,
"031001088801106","03100101106",3,10,1,8,88,11,6,1,5500,1712,4,,1507,1,,171,3,,34,1,2,,1,10,0,15,3,90,1,10,,
"031002088801601","03100201601",3,10,2,8,88,16,1,2,3056,545,4,,850,,,,,,,5,2,,2,20,0,12,1,50,,,,
"031004010100103","03100400103",3,10,4,1,1,1,3,2,9100,1716,4,,1016,1,,400,3,,100,15,3,,1,1,0,0,1,999,,,,
"031004088800408","03100400408",3,10,4,8,88,4,8,1,11003,1591,4,,1535,1,,30,3,,26,1,2,,1,20,1,20,3,100,,,,
"031101010100318","03110100318",3,11,1,1,1,3,18,1,40200,5225,1,,3500,4,,1200,3,,200,1,3,,1,1,0,0,2,65,1,25,3,10
"031101010100719","03110100719",3,11,1,1,1,7,19,3,25139,2004,1,,90,4,,2,3,,3,0,3,,1,15,0,20,1,85,3,10,2,5
"031101010101201","03110101201",3,11,1,1,1,12,1,1,52104,13104,1,,8517,4,,3276,3,,786,2,3,,1,0,0,0,2,65,1,25,3,10
"031201088800101","03120100101",3,12,1,8,88,1,1,2,3995,940,4,,940,,,,,,,1,2,,4,19,0,21,1,50,,,,
"031201088800303","03120100303",3,12,1,8,88,3,3,2,7015,1815,4,,1800,1,,15,,,,1,2,,3,40,0,10,3,100,,,,
"031201088800504","03120100504",3,12,1,8,88,5,4,2,6400,1198,4,,1087,1,,106,3,,5,1,2,,5,40,0,5,3,100,,,,
"040101088802202","04010102202",4,1,1,8,88,22,2,3,2176,523,3,,465,1,,57,4,,1,5,4,,5,3,0,0,1,99,3,1,,
"040106088801302","04010601302",4,1,6,8,88,13,2,2,1308,218,3,,210,1,,8,,,,2,2,,5,5,90,5,1,80,3,15,2,5
"040113088800501","04011300501",4,1,13,8,88,5,1,4,2211,398,3,,318,1,,72,4,,8,2,4,,4,25,0,0,1,199,3,199,,
"040116020100103","04011600103",4,1,16,2,1,1,3,1,4852,1200,3,,900,1,,290,4,,10,2,4,,5,5,0,0,1,60,3,30,2,10
"040117010100211","04011700211",4,1,17,1,1,2,11,1,9705,1579,3,,45,1,,40,4,,15,2,3,,2,0,0,0,3,70,2,20,1,10
"040118088802402","04011802402",4,1,18,8,88,24,2,2,2224,367,3,,294,4,,55,1,,18,16,4,,5,10,0,60,1,95,3,5,,
"040204088801105","04020401105",4,2,4,8,88,11,5,1,6340,758,3,,455,4,,227,1,,76,20,6,,1,15,0,20,3,55,1,25,2,20
"040210088801102","04021001102",4,2,10,8,88,11,2,2,3638,546,3,,410,1,,136,,,,1,2,,3,10,0,5,1,50,3,50,,
"040214010200204","04021400204",4,2,14,1,2,2,4,1,5757,904,1,,678,3,,217,4,,9,1,6,,2,10,0,5,1,65,3,30,2,5
"040214088801801","04021401801",4,2,14,8,88,18,1,3,7902,894,3,,536,4,,268,1,,89,10,2,,5,5,10,10,1,75,3,25,,
"040302088801803","04030201803",4,3,2,8,88,18,3,1,4976,778,3,,545,4,,132,1,,101,2,2,,5,0,0,0,3,506,1,272,,
"040308010100108","04030800108",4,3,8,1,1,1,8,3,12259,1587,4,,60,2,,30,3,,10,5,3,,2,0,15,0,1,70,2,29,3,1
"040308088800401","04030800401",4,3,8,8,88,4,1,4,2068,355,4,,340,1,,15,,,,4,2,,5,0,0,29,1,275,2,80,,
"040314088800602","04031400602",4,3,14,8,88,6,2,4,5000,950,4,,848,1,,100,3,,2,10,2,,5,5,6,0,1,633,3,317,,
"040321010100214","04032100214",4,3,21,1,1,2,14,1,18896,3972,3,,1550,1,,1365,4,,975,2,3,,1,4,2,3,1,53,2,28,3,19
"040401088801103","04040101103",4,4,1,8,88,11,3,2,3762,472,3,,383,1,,165,4,,24,5,2,,2,35,0,5,1,100,,,,
"040405088801902","04040501902",4,4,5,8,88,19,2,3,2300,955,4,,925,1,,30,,,,10,2,,5,20,70,20,3,100,,,,
"040410088800701","04041000701",4,4,10,8,88,7,1,1,1055,683,4,,683,,,,,,,20,2,,5,30,0,20,3,90,1,90,,
"040412010100104","04041200104",4,4,12,1,1,1,4,1,15000,3000,4,,2700,1,,200,3,,100,5,3,,2,5,0,0,1,999,,,,
"040414088801702","04041401702",4,4,14,8,88,17,2,1,3354,430,4,,270,1,,150,3,,10,20,2,,2,5,0,1,3,430,,,,
"040503088803104","04050303104",4,5,3,8,88,31,4,4,3582,869,1,,608.3,3,,260.7,,,,1,2,,2,15,0,5,1,75,3,20,2,5
"040508088803103","04050803103",4,5,8,8,88,31,3,1,2733,596,1,,1899,3,,781,4,,50,3,2,,2,5,10,2,1,75,3,20,2,5
"040512010100104","04051200104",4,5,12,1,1,1,4,1,12028,8957,1,,7000,4,,1000,3,,900,10,7,,2,0,0,2,1,999,2,500,3,457
"040513088802405","04051302405",4,5,13,8,88,24,5,1,4716,731,1,,2150,3,,2416,7,,150,0,2,,5,15,0,2,1,55,3,42,2,3
