"2.5%","97.5%","mean_error_model","obs","zone","povline"
"-4.26234307993849","4.27085824570781","3.63652732058487","450","rural","poor_2011_320"
"-3.97148587464127","4.04622026362613","3.57919224121252","500","rural","poor_2011_320"
"-8.64192366324632","7.73877710070899","-1.06295276543404","100","urban","poor_2011_320"
"-6.16656640498755","5.89565715565455","-0.846942915002833","150","urban","poor_2011_320"
"-5.08777175062487","4.84604250821156","-0.917915065386388","200","urban","poor_2011_320"
"-4.21084610133041","4.30962572670545","-0.90382994332101","250","urban","poor_2011_320"
"-3.71662713196964","3.66420474369024","-0.907501479143067","300","urban","poor_2011_320"
"-3.05614304114633","2.91850636259987","-0.956342518637013","350","urban","poor_2011_320"
"-2.58684623221857","2.69211566453343","-0.912406733413297","400","urban","poor_2011_320"
"-2.06340910347709","2.28187386939836","-0.850164531715408","450","urban","poor_2011_320"
"-1.44291506518977","1.52456746414748","-0.910530231772077","500","urban","poor_2011_320"
"-11.4251546209582","11.1534726730738","2.61917397308312","100","full","poor_2011_320"
"-9.68957276801955","8.86436813537775","2.10752220107429","150","full","poor_2011_320"
"-8.10389999055193","7.79551490880331","2.34569616217028","200","full","poor_2011_320"
"-6.96687515482733","7.40959895257235","2.23568520718582","250","full","poor_2011_320"
"-6.24102114302238","5.8150585414016","2.48089608304745","300","full","poor_2011_320"
"-5.49281960715353","5.87713781104209","2.38350618763917","350","full","poor_2011_320"
"-5.06790803286574","4.99146395378309","2.38839846961983","400","full","poor_2011_320"
"-5.08542827014244","5.09401991429732","2.41862803824397","450","full","poor_2011_320"
"-4.16274617902238","3.96572103249884","2.33299791348083","500","full","poor_2011_320"
"-10.2237982060709","10.4676939429064","0.231967997993684","100","rural","poor_2011_550"
"-8.2705483880173","9.18999239311638","-0.0502519363411944","150","rural","poor_2011_550"
"-6.88020679212403","7.36452163107187","-0.10506325610171","200","rural","poor_2011_550"
"-6.07725743847528","6.7264693439857","-0.049793439269796","250","rural","poor_2011_550"
"-5.61875414056996","5.77104214926607","0.0372594402049001","300","rural","poor_2011_550"
"-5.01837127951134","4.98127734808334","0.0771069427205028","350","rural","poor_2011_550"
"-4.72060967493982","4.73409133401132","0.0274501996156791","400","rural","poor_2011_550"
"-3.99095252190132","4.47420904553236","0.136240476587178","450","rural","poor_2011_550"
"-3.55392860162459","3.70462331771575","0.0816001657340128","500","rural","poor_2011_550"
"-10.9234211132994","10.3066324083661","1.81095606762221","100","urban","poor_2011_550"
"-9.13353682692","7.78878438729983","1.61462044027528","150","urban","poor_2011_550"
"-6.8218300263284","6.52835038832798","1.84708374981172","200","urban","poor_2011_550"
"-5.70390052800265","5.46243583327665","1.69117346042311","250","urban","poor_2011_550"
"-4.75740670827128","4.59262664397096","1.83385805222297","300","urban","poor_2011_550"
"-4.16288647678646","3.94213886954849","1.67495388990915","350","urban","poor_2011_550"
"-3.33291502109411","3.60823322652519","1.76708298783653","400","urban","poor_2011_550"
"-2.79727062122668","2.87736320255328","1.75617524893162","450","urban","poor_2011_550"
"-2.05785431601419","2.1651232026554","1.66738469868062","500","urban","poor_2011_550"
"-10.8186765824621","11.979984143881","0.527422878485081","100","full","poor_2011_550"
"-9.16806915842588","9.89615417388324","0.525684430792949","150","full","poor_2011_550"
"-7.13488393761682","7.93172577190419","0.634980883199424","200","full","poor_2011_550"
"-7.11193734682166","6.83202936981658","0.438013134906965","250","full","poor_2011_550"
"-5.86481606742551","6.25021814069706","0.618941573584316","300","full","poor_2011_550"
"-5.54889365934529","5.55398253225837","0.467657739835061","350","full","poor_2011_550"
"-5.31203277698296","4.91078085182217","0.682163453439981","400","full","poor_2011_550"
"-4.64802411649482","4.79685265652168","0.664531021758729","450","full","poor_2011_550"
"-3.91614455893222","4.4471227417761","0.55677921751305","500","full","poor_2011_550"
"-7.6590995398064","9.32452103012557","-0.0861221465889074","100","rural","poor_2011_800"
"-6.2433728858464","7.23594955165309","-0.324554990033492","150","rural","poor_2011_800"
"-5.28467205200804","6.06248490494115","-0.350166908656409","200","rural","poor_2011_800"
"-4.5020491593041","4.76688574615121","-0.44757239455372","250","rural","poor_2011_800"
"-4.32237240157829","4.47962658061398","-0.248879786770102","300","rural","poor_2011_800"
"-3.80531726778906","3.89812874637338","-0.184861880514029","350","rural","poor_2011_800"
"-3.69117885040222","3.76512580774775","-0.180474345474903","400","rural","poor_2011_800"
"-3.13880181312727","3.2526922374114","-0.153872063873892","450","rural","poor_2011_800"
"-2.71953402671466","2.78874051131384","-0.23247758996928","500","rural","poor_2011_800"
"-10.5527457714078","10.4114051877093","0.874016109788455","100","urban","poor_2011_800"
"-8.27556503792368","8.16703863363266","0.844165374666646","150","urban","poor_2011_800"
"-6.88854424400059","6.57240152910355","1.10903327816886","200","urban","poor_2011_800"
"-5.54748295921571","5.78843021453709","1.02643621909831","250","urban","poor_2011_800"
"-4.68872112689769","4.9219103220139","1.12133804630724","300","urban","poor_2011_800"
"-4.05303336948845","3.96204365207081","0.946592552713311","350","urban","poor_2011_800"
"-3.24826406731971","3.51239442256822","0.959342811945441","400","urban","poor_2011_800"
"-2.66895840994804","2.62303593940157","1.05179776073126","450","urban","poor_2011_800"
"-2.20623465165267","2.01231844452317","0.950289674299605","500","urban","poor_2011_800"
"-8.14793851258163","10.6080472188504","0.198129211067629","100","full","poor_2011_800"
"-6.66257351188073","8.30421316540066","0.0942753225567418","150","full","poor_2011_800"
"-5.87801897183489","6.81923499691514","0.0604531483709772","200","full","poor_2011_800"
"-5.82340001185311","5.73800963379327","-0.0269125510322844","250","full","poor_2011_800"
"-4.85713997790106","5.11678834532738","0.165249053491033","300","full","poor_2011_800"
"-4.5829329783011","4.9553597189942","0.0623417114978157","350","full","poor_2011_800"
"-4.06260003677526","4.43019159544172","0.181426999761412","400","full","poor_2011_800"
"-3.84156506465795","3.88129505498313","0.182824973075405","450","full","poor_2011_800"
"-3.61743323556319","3.77038848690361","0.137826509820516","500","full","poor_2011_800"
"-6.46106272924804","8.95665437146632","0.323989485865914","100","rural","poor_2011_1100"
"-5.24591240968002","6.34882756674099","0.0391249055656834","150","rural","poor_2011_1100"
"-4.56640003173798","5.05112094863123","0.0693550320974595","200","rural","poor_2011_1100"
"-4.22278049843449","4.89158455455386","-0.0354355146582704","250","rural","poor_2011_1100"
"-3.59888767794493","4.20635395519531","0.110845430893533","300","rural","poor_2011_1100"
"-3.79860906629916","3.79282160550793","0.189951373949825","350","rural","poor_2011_1100"
"-3.20334100910836","3.42155163286485","0.191315502901222","400","rural","poor_2011_1100"
"-2.85154512047928","3.05419981128449","0.240234910156867","450","rural","poor_2011_1100"
"-2.45780839886397","2.63092505416032","0.12160224060118","500","rural","poor_2011_1100"
