"","household_id2","hh_wgt","urban","poor_npl1","pred_score_pr_full"
"226","040101088802202029",6071.59326171875,0,0,0.371809573076509
"227","010501020100105031",2317.76318359375,1,0,0.133671586240618
"228","071301088801301039",1553.13659667969,0,0,0.596220532297017
"229","041108088801402040",8612.818359375,0,0,0.116067568464425
"230","040503088803104002",21020.689453125,0,0,0.175633157485721
"231","010105088800204169",3921.96020507812,0,0,0.0911982358185387
"232","060608088801401166",315.592651367188,0,0,0.596220532297017
"233","030302088802104108",7683.822265625,0,0,0.384454158953013
"234","030710088801703148",12702.48828125,0,0,0.311450917924466
"235","071401088801303168",378.111694335938,0,0,0.423272215756039
"236","030606088802103172",8527.62890625,0,0,0.218004237533393
"237","030606088802103097",8527.62890625,0,0,0.100512947562797
"238","040806088800802097",8614.1142578125,0,1,0.371809573076509
"239","040913088801004106",12414.8798828125,0,0,0.0677515877988217
"240","030104088800901150",8108.21533203125,0,1,0.543548157291292
"241","030302088802104127",7683.822265625,0,0,0.449720131493548
"242","040806088800802169",8614.1142578125,0,1,0.15348200472991
"243","041803088801004050",4874.33740234375,0,0,0.175633157485721
"244","071104010100302147",3020.80981445312,1,0,0.476455372439284
"245","010203088801001145",3237.32836914062,0,0,0.121699761465587
"246","030310088801701100",5395.47314453125,0,0,0.121699761465587
"247","070506088801303135",3679.947265625,0,1,0.476455372439284
"248","030905088801102033",5463.38330078125,0,1,0.334969924194252
"249","070703088802101086",2889.43920898438,0,1,0.347053816449006
"250","071003088801001092",5229.85009765625,0,1,0.436450992249818
"251","041306088800204041",7094.3955078125,0,0,0.0826674013804288
"252","030120020100105188",3041.9384765625,1,0,0.0314195456024053
"253","040712088802302065",12869.6865234375,0,0,0.100512947562797
"254","010404088800103046",107.457824707031,0,0,0.116067568464425
"255","040806088800802133",8614.1142578125,0,1,0.236894482727168
"256","030118010102006037",2752.68896484375,1,0,0.0526184678032966
"257","070111088800401008",4259.279296875,0,0,0.218004237533393
"258","030104088800901054",8108.21533203125,0,0,0.543548157291292
"259","071105088802003015",1633.91528320312,0,0,0.347053816449006
"260","050204088808901055",3159.33374023438,0,0,0.288865957516562
"261","040707088802702050",8072.98291015625,0,0,0.064432924899379
"262","030504088800305002",7241.4794921875,0,0,0.300037035084119
"263","041706010100124279",12037.0107421875,1,0,0.0367182729795684
"264","070909088800601174",3972.13989257812,0,0,0.463061204318371
"265","040817088802801107",9607.2412109375,0,0,0.236894482727168
"266","030302088802104047",7683.822265625,0,0,0.449720131493548
"267","030611088802207018",11540.9443359375,0,0,0.208975572021311
"268","030504088800305051",7241.4794921875,0,0,0.423272215756039
"269","041118088800102059",3380.72338867188,1,1,0.347053816449006
"270","040405088801902002",13144,0,0,0.0826674013804288
"271","020103088800601040",443.895324707031,0,0,0.288865957516562
"272","030515088800703038",6841.4658203125,0,0,0.121699761465587
"273","020104088800201137",481.515289306641,0,0,0.175633157485721
"274","030307088801002003",6107.38427734375,0,0,0.0451327261459291
"275","070112088802605124",5791.6826171875,0,0,0.410201721969188
"276","071301088801301147",1553.13659667969,0,1,0.436450992249818
"277","040605088801004145",14205.49609375,0,0,0.116067568464425
"278","071101088800201072",2855.67138671875,0,0,0.347053816449006
"279","030204088800906013",2429.03369140625,0,1,0.543548157291292
"280","030708088801402107",5700.29150390625,0,0,0.208975572021311
"281","041005088800403032",14199.263671875,0,0,0.183555557877082
"282","060303088804202019",3318.89135742188,0,0,0.146624496008625
"283","050207088804801005",1186.40051269531,0,1,0.436450992249818
"284","030905088801102063",5463.38330078125,0,0,0.463061204318371
"285","040901088800304120",13522.181640625,0,0,0.160599876071218
"286","010106088800402057",3426.1669921875,0,0,0.323098577878763
"287","071104088801603037",1947.05029296875,0,0,0.556855966789898
"288","010401088801204081",2849.8271484375,0,1,0.246753098514231
"289","070505088800304001",3564.400390625,0,0,0.175633157485721
"290","040214088801801130",7506.3388671875,0,0,0.100512947562797
"291","030616088801207019",8455.56640625,0,0,0.256883879785587
"292","040901088800304188",13522.181640625,0,0,0.127565815279375
"293","040913088801004009",12414.8798828125,0,1,0.183555557877082
"294","040817088802801047",9607.2412109375,0,0,0.236894482727168
"295","060204088800402077",2871.13940429688,0,0,0.0283063420501641
"296","071801088800101145",714.294006347656,0,0,0.323098577878763
"297","010406088800803074",1324.76440429688,0,0,0.0826674013804288
"298","030207088803703035",7644.05078125,0,0,0.0786797827132241
"299","030509020100104059",1589.3095703125,1,0,0.100512947562797
"300","030521088800808085",6962.7998046875,0,0,0.0748688155615704
"301","071801088800101091",714.294006347656,0,1,0.146624496008625
"302","071003088801001049",5229.85009765625,0,0,0.121699761465587
"303","010301088800204003",1550.37329101562,0,0,0.288865957516562
"304","040704088801002022",8271.7236328125,0,0,0.061266136362393
"305","071702088800803023",1871.20251464844,0,1,0.436450992249818
"306","071016010100109111",5039.255859375,1,0,0.227310887286661
"307","030803088800603114",3176.8017578125,0,0,0.556855966789898
"308","031004088800408024",3276.11987304688,0,0,0.208975572021311
"309","030513088800702192",4330.04931640625,0,0,0.277945647004541
"310","041116088801404102",7362.7822265625,0,0,0.175633157485721
"311","072002088803802074",3260.85961914062,0,1,0.236894482727168
"312","070605088800601147",5351.06494140625,0,0,0.0868380703865353
"313","030604088802001037",7353.31396484375,0,0,0.35933808698376
"314","071301088802505106",1060.84753417969,0,0,0.175633157485721
"315","010201088800207137",3320.48193359375,0,1,0.160599876071218
"316","030307088801002120",6107.38427734375,0,0,0.121699761465587
"317","010502088800712110",413.561126708984,0,0,0.0748688155615704
"318","041309088801003094",9283.5576171875,0,0,0.0677515877988217
"319","071201088800102132",552.863525390625,0,0,0.0475077973683472
"320","072005088800604058",3387.75268554688,0,0,0.15348200472991
"321","030616088801207091",8455.56640625,0,1,0.449720131493548
"322","010103088801804130",3971.76220703125,0,1,0.543548157291292
"323","072001088801203148",3236.5068359375,0,1,0.682693627926853
"324","040503088803104090",21020.689453125,0,0,0.160599876071218
"325","020306088800601098",565.867980957031,0,1,0.267283003837466
"326","150102088800404139",353.654937744141,0,0,0.0911982358185387
"327","070602088801501129",3615.33276367188,0,1,0.323098577878763
"328","071501088800704148",1786.8193359375,0,1,0.682693627926853
"329","070801088800401043",1221.73303222656,0,0,0.476455372439284
"330","130101088800905094",318.431823730469,0,0,0.146624496008625
"331","030403088801401080",10250.4267578125,0,0,0.300037035084119
"332","030710088801703166",12702.48828125,0,0,0.121699761465587
"333","071012088802901220",3975.59814453125,0,1,0.596220532297017
"334","010408088800402054",3399.5146484375,0,1,0.65895146465118
"335","030114088800816132",12936.783203125,0,1,0.183555557877082
"336","030705088802405108",5481.625,0,0,0.133671586240618
"337","070112088802605109",5791.6826171875,0,0,0.300037035084119
"338","070703088802101110",2889.43920898438,0,0,0.463061204318371
"339","031004088800408203",3276.11987304688,0,0,0.311450917924466
"340","070306088800204149",2306.56176757812,0,0,0.436450992249818
"341","070210088801401003",4696.45263671875,0,0,0.1054804204053
"342","130101088801304149",122.578491210938,0,0,0.218004237533393
"343","070202088801001123",6878.13818359375,0,0,0.288865957516562
"344","071104010100302057",3020.80981445312,1,1,0.410201721969188
"345","071301088802505061",1060.84753417969,0,1,0.530177886124799
"346","041216088800101065",7334.26220703125,0,0,0.236894482727168
"347","130101088800905034",98.8236694335938,0,0,0.064432924899379
"348","070909088800601150",3972.13989257812,0,1,0.463061204318371
"349","041402088802701047",8267.568359375,0,1,0.371809573076509
"350","041306088800204191",342.724395751953,0,0,0.146624496008625
"351","071104010100302042",3020.80981445312,1,0,0.146624496008625
"352","040513088802405081",22068.86328125,0,0,0.064432924899379
"353","030303088802404037",6076.18701171875,0,0,0.121699761465587
"354","040817088802801062",9607.2412109375,0,0,0.371809573076509
"355","150102088800704020",273.377105712891,0,0,0.160599876071218
"356","030112088800203039",8908.4228515625,0,1,0.543548157291292
"357","070505088800304110",3564.400390625,0,1,0.463061204318371
"358","041009088803605070",15875.5830078125,0,0,0.183555557877082
"359","040308010100108120",5669.4326171875,1,0,0.0712281672192445
"360","030101088800204114",9197.3388671875,0,1,0.543548157291292
"361","071601088800803006",762.799560546875,0,1,0.463061204318371
"362","040701088801502311",2897.42749023438,0,0,0.503326229565021
"363","040907088800105073",13033.6474609375,0,0,0.100512947562797
"364","030109020100112133",4784.68994140625,1,1,0.140022697665699
"365","070105088802502094",4376.744140625,0,0,0.436450992249818
"366","010305088801202174",1774.88024902344,0,0,0.127565815279375
"367","050207088804801041",1186.40051269531,0,1,0.410201721969188
"368","030803088800603086",3176.8017578125,0,0,0.334969924194252
"369","130101088800405147",163.318771362305,0,0,0.0911982358185387
