"2.5%","97.5%","mean_error_model","obs","zone","povline"
"-2.6895751721898","2.37433512086477","-1.71081185163301","350","full","poor_npl2"
"-2.49600388465625","2.12663131990533","-1.68575504997766","400","full","poor_npl2"
"-2.27665105613285","2.05450612719248","-1.67973069506864","450","full","poor_npl2"
"-2.10542456700086","1.88607132802692","-1.58431270543003","500","full","poor_npl2"
"-12.1716320311444","11.1999240095397","3.94489355039034","100","rural","poor_150npl1"
"-9.77844816338728","8.79195847435416","4.07007640654128","150","rural","poor_150npl1"
"-8.3067559646825","8.1755690640833","3.86668393762887","200","rural","poor_150npl1"
"-7.24998851123283","7.34204051414754","4.03247406467291","250","rural","poor_150npl1"
"-6.22479281900695","6.02192351021507","3.95733869534327","300","rural","poor_150npl1"
"-5.41045306366002","5.64331843029094","3.83595091850586","350","rural","poor_150npl1"
"-4.70316214857237","5.21073074489944","3.87644204304291","400","rural","poor_150npl1"
"-4.61162088585378","4.61801845790402","3.87917958370589","450","rural","poor_150npl1"
"-4.16477674239338","4.17747131694558","3.93650893376942","500","rural","poor_150npl1"
"-7.82855882386383","7.67323037575086","0.0436426905576243","100","urban","poor_150npl1"
"-5.83352328963161","5.64470466004447","0.0160710272158106","150","urban","poor_150npl1"
"-5.25206398235437","4.78811242169953","-0.0775941494181607","200","urban","poor_150npl1"
"-4.21504655235063","4.06626273051583","-0.135717876255568","250","urban","poor_150npl1"
"-3.25166455933497","3.47396462047725","-0.0861642981253285","300","urban","poor_150npl1"
"-2.90048962060181","2.80730017108118","0.0175487494027115","350","urban","poor_150npl1"
"-2.36164400311837","2.3349632194899","0.0463844111377878","400","urban","poor_150npl1"
"-1.70594095375898","1.82254954601001","-0.0125837188302424","450","urban","poor_150npl1"
"-1.11353760463956","1.22794553967581","-0.050273955235697","500","urban","poor_150npl1"
"-11.1021733945481","11.2652371716461","2.66131354300573","100","full","poor_150npl1"
"-9.14050079455847","9.24660367321284","2.63698220294621","150","full","poor_150npl1"
"-7.84355504940608","7.96110061067333","2.83522965610989","200","full","poor_150npl1"
"-7.08326495138285","7.03086793419333","2.84956736587025","250","full","poor_150npl1"
"-6.4807011510136","6.05149501637053","2.76579572364054","300","full","poor_150npl1"
"-5.96278937396771","6.17848650501607","2.84305183658986","350","full","poor_150npl1"
"-5.35184625519775","5.20830492333601","2.94165757482083","400","full","poor_150npl1"
"-4.84896016925347","4.64502074510267","2.79533398382691","450","full","poor_150npl1"
"-4.68543341772585","4.54403238916093","2.74308464366434","500","full","poor_150npl1"
"-11.3645322011171","12.0335031525474","4.17483823214588","100","rural","poor_200npl1"
"-9.39169877408478","9.49218472697192","4.11316288821159","150","rural","poor_200npl1"
"-7.89253281336589","7.67180138600596","4.01963679712582","200","rural","poor_200npl1"
"-7.31265103718427","7.06725317457045","4.20165678019489","250","rural","poor_200npl1"
