"","hh_id","hh_weight","urban","poor_npl1","pred_score_pr_full"
"159",5020602801065,2489.52587890625,0,0,0.230650461122524
"160",1010201403106,2492.767578125,0,0,0.43681653008148
"161",1010700116173,4280.70361328125,1,0,0.157106473346741
"162",3100400103173,2973.0654296875,1,0,0.0932983926987894
"163",4171100202119,3625.83203125,1,1,0.142005046345721
"164",3052100808117,6962.7998046875,0,0,0.466233110506826
"165",4090100304099,13522.181640625,0,0,0.0537529999302516
"166",7030400501116,2879.453125,0,1,0.555071346274374
"167",3011801204039,1864.86059570312,1,0,0.121642880258756
"168",7190102302146,642.417358398438,0,1,0.35193411871928
"169",6060801401112,315.592651367188,0,1,0.325333630444357
"170",3041200105098,3101.9599609375,1,0,0.0932983926987894
"171",4081202401094,12263.90625,0,0,0.0322084331646346
"172",5090201201019,5685.6171875,0,0,0.379486193735871
"173",7011100401004,4259.279296875,0,0,0.325333630444357
"174",3100400103205,2973.0654296875,1,0,0.182173779068842
"175",4081202401022,12263.90625,0,0,0.103847064608836
"176",1030100204139,1550.37329101562,0,0,0.109507422216741
"177",4070702702097,8072.98291015625,0,0,0.263779933900726
"178",3110100318073,1865.72045898438,1,0,0.0341126456974617
"179",4171100511123,1226.3798828125,1,0,0.0241309010396795
"180",3011801204067,1864.86059570312,1,0,0.157106473346741
"181",15010100914033,1849.29016113281,1,0,0.0508101101760958
"182",3011400816138,964.898193359375,0,0,0.365600192323671
"183",7040901103109,8843.5966796875,0,1,0.287492189927297
"184",7150102609150,1233.53173828125,0,1,0.803666553226319
"185",4041000701044,14221.8798828125,0,0,0.252405599900413
"186",3090501102067,512.192138671875,0,0,0.466233110506826
"187",4071202302125,12869.6865234375,0,0,0.230650461122524
"188",7090701501077,4621.26416015625,0,0,0.230650461122524
"189",2010500404024,1259.19689941406,0,0,0.220277262147605
"190",3030801617056,1660.99304199219,0,1,0.525568675069212
"191",15010201805121,364.979370117188,0,1,0.287492189927297
"192",4070401002014,8271.7236328125,0,0,0.182173779068842
"193",7150102609022,1233.53173828125,0,1,0.717905347795533
"194",7100800105028,3021.98217773438,1,0,0.182173779068842
