"","cutoff","2.5%_excl","5%_excl","50%_excl","95%_excl","97.5%_excl","2.5%_incl","5%_incl","50%_incl","95%_incl","97.5%_incl","obs","zone","povline"
"17","80","0","0","0","0","0","0.946666666666667","0.95451048951049","0.985714285714286","1","1","100","rural","poor_npl1"
"18","85","0","0","0","0","0","0.959445575712699","0.962025316455696","0.986842105263158","1","1","100","rural","poor_npl1"
"19","90","0","0","0","0","0","0.973675438596491","0.984848484848485","1","1","1","100","rural","poor_npl1"
"20","95","0","0","0","0","0","0.985709109730849","0.986111111111111","1","1","1","100","rural","poor_npl1"
"21","5","0.969230769230769","0.971810865191147","0.984848484848485","1","1","0","0","0.00267379679144385","0.00546448087431694","0.00552486187845304","500","rural","poor_npl1"
"22","10","0.943915812481158","0.947368421052632","0.968503937007874","0.985074626865672","0.991869918699187","0.00259067357512953","0.00264550264550265","0.00793650793650794","0.0133333333333333","0.0136239782016349","500","rural","poor_npl1"
"23","15","0.886792452830189","0.891666666666667","0.922480620155039","0.950839664134346","0.955907707910751","0.00785340314136126","0.00804182018895786","0.016","0.024","0.0244615470518166","500","rural","poor_npl1"
"24","20","0.821670603197674","0.830763027295285","0.869918699186992","0.903239954725523","0.91044776119403","0.0329602958349552","0.0355142865651196","0.0489410578216047","0.0629932046165462","0.0642463486090965","500","rural","poor_npl1"
"25","25","0.707692307692308","0.716666666666667","0.762962962962963","0.806214053513378","0.816846486746409","0.0729631647776809","0.0763148954877903","0.0944444444444444","0.112637362637363","0.117029078014184","500","rural","poor_npl1"
"26","30","0.575459905660377","0.5859375","0.637863155036655","0.688405797101449","0.696296296296296","0.152622896072669","0.158017234213516","0.182065217391304","0.205804749340369","0.209820097387575","500","rural","poor_npl1"
"27","35","0.382309043020193","0.391666666666667","0.448","0.503706488443331","0.511133333333333","0.287197162292153","0.294109927435541","0.322493224932249","0.353562005277045","0.360531725533994","500","rural","poor_npl1"
"28","40","0.223975539568345","0.23527183600713","0.283635016407325","0.33345498783455","0.344006557377049","0.406501891222121","0.412525951313576","0.445040214477212","0.477572559366755","0.483122294372294","500","rural","poor_npl1"
"29","45","0.143998484848485","0.152665286582999","0.194029850746269","0.240015503875969","0.248001550387597","0.540978038132573","0.545920116840234","0.577540106951872","0.606956581597902","0.615594805194805","500","rural","poor_npl1"
"30","50","0.0615151515151515","0.0681818181818182","0.0988825515073914","0.133888043406339","0.140759958071279","0.676626438618926","0.68205899156217","0.710182767624021","0.739374226439559","0.745206778780117","500","rural","poor_npl1"
"31","55","0.0254131355932203","0.0310077519379845","0.056169014084507","0.0806451612903226","0.0859375","0.757154762330555","0.761517615176152","0.787234042553192","0.812332439678284","0.816976127320955","500","rural","poor_npl1"
"32","60","0","0.00740468409586057","0.0223880597014925","0.0354736575481256","0.0387596899224806","0.849859408489959","0.854161036036036","0.874666666666667","0.89561027208086","0.899204758086073","500","rural","poor_npl1"
"33","65","0","0.00646258503401362","0.0161290322580645","0.032","0.0336134453781513","0.897568981415804","0.901333333333333","0.918365455893254","0.936170212765957","0.938510851632723","500","rural","poor_npl1"
"34","70","0","0","0.00826446280991736","0.0229007633587786","0.0241935483870968","0.932613798116236","0.936499515809861","0.950131233595801","0.963921095467916","0.965699208443272","500","rural","poor_npl1"
"35","75","0","0","0","0.00840336134453781","0.00854700854700855","0.945046992481203","0.947222571233125","0.959568733153639","0.972451790633609","0.973263814616756","500","rural","poor_npl1"
"36","80","0","0","0","0","0","0.97027027027027","0.971124810056638","0.980874316939891","0.989247311827957","0.989557492116239","500","rural","poor_npl1"
"37","85","0","0","0","0","0","0.978260869565217","0.978720567375887","0.986559139784946","0.994536263605366","0.99468085106383","500","rural","poor_npl1"
"38","90","0","0","0","0","0","0.989304812834225","0.991620111731844","0.99468085106383","1","1","500","rural","poor_npl1"
"39","95","0","0","0","0","0","0.994490358126722","0.994549664239663","0.997326203208556","1","1","500","rural","poor_npl1"
"40","5","0.833333333333333","0.874107142857143","1","1","1","0","0","0","0","0","100","urban","poor_npl1"
"41","10","0.833333333333333","0.874107142857143","1","1","1","0","0","0","0","0","100","urban","poor_npl1"
"42","15","0.833333333333333","0.874107142857143","1","1","1","0","0","0","0","0","100","urban","poor_npl1"
"43","20","0.8","0.833333333333333","1","1","1","0","0","0","0.0112359550561798","0.0210526315789474","100","urban","poor_npl1"
"44","25","0.727272727272727","0.777777777777778","1","1","1","0","0","0.0106382978723404","0.0227272727272727","0.0326086956521739","100","urban","poor_npl1"
"45","30","0.727272727272727","0.777777777777778","1","1","1","0","0","0.010752688172043","0.0319320521619766","0.032967032967033","100","urban","poor_npl1"
"46","35","0.6","0.666666666666667","0.875","1","1","0","0","0.010989010989011","0.0333333333333333","0.0421052631578947","100","urban","poor_npl1"
"47","40","0.599285714285714","0.625","0.857142857142857","1","1","0","0","0.0212765957446809","0.043956043956044","0.0537634408602151","100","urban","poor_npl1"
"48","45","0.555555555555556","0.6","0.833333333333333","1","1","0","0.0105263157894737","0.032258064516129","0.0638641043239533","0.0666666666666667","100","urban","poor_npl1"
"49","50","0.5","0.5","0.781746031746032","1","1","0.0105263157894737","0.010752688172043","0.041026719966337","0.0736842105263158","0.0795454545454545","100","urban","poor_npl1"
"50","55","0.428571428571429","0.5","0.75","1","1","0.03125","0.0326086956521739","0.0677987742594484","0.114984875983061","0.127659574468085","100","urban","poor_npl1"
"51","60","0.285714285714286","0.333333333333333","0.615384615384615","0.875694444444444","1","0.0631414473684211","0.0666666666666667","0.112359550561798","0.164835164835165","0.17780701754386","100","urban","poor_npl1"
"52","65","0.166666666666667","0.222222222222222","0.5","0.8","0.857142857142857","0.107498284145504","0.117021276595745","0.173913043478261","0.239130434782609","0.252634470792366","100","urban","poor_npl1"
"53","70","0","0.124305555555556","0.375","0.666666666666667","0.75","0.162999649368864","0.17437114380636","0.239583333333333","0.308510638297872","0.32183908045977","100","urban","poor_npl1"
"54","75","0","0","0.285714285714286","0.571428571428571","0.6","0.263736263736264","0.276595744680851","0.351648351648352","0.428571428571429","0.439592933947773","100","urban","poor_npl1"
"55","80","0","0","0.226495726495726","0.5","0.571428571428571","0.444354838709677","0.451612903225806","0.532608695652174","0.615384615384615","0.626405775075988","100","urban","poor_npl1"
"56","85","0","0","0.111111111111111","0.3","0.333333333333333","0.629174635429118","0.641304347826087","0.706521739130435","0.777777777777778","0.793533777466106","100","urban","poor_npl1"
"57","90","0","0","0","0.125","0.166666666666667","0.799943820224719","0.811111111111111","0.869565217391304","0.921348314606742","0.925531914893617","100","urban","poor_npl1"
"58","95","0","0","0","0","0","0.913978494623656","0.921348314606742","0.956043956043956","0.988636363636364","0.989247311827957","100","urban","poor_npl1"
"59","5","0.972202380952381","0.972222222222222","0.975","1","1","0","0","0","0","0","500","urban","poor_npl1"
"60","10","0.972202380952381","0.972222222222222","0.975","1","1","0","0","0","0","0","500","urban","poor_npl1"
"61","15","0.972202380952381","0.972222222222222","0.975","1","1","0","0","0","0","0","500","urban","poor_npl1"
"62","20","0.944444444444444","0.944444444444444","0.951219512195122","0.975609756097561","0.976190476190476","0.0021551724137931","0.00216450216450216","0.00433839479392625","0.00437636761487965","0.00437636761487965","500","urban","poor_npl1"
"63","25","0.916666666666667","0.918918918918919","0.926829268292683","0.952380952380952","0.972222222222222","0.00647948164146868","0.00650759219088937","0.0107991360691145","0.0109409190371991","0.0109409190371991","500","urban","poor_npl1"
"64","30","0.916666666666667","0.918918918918919","0.926829268292683","0.952380952380952","0.972222222222222","0.00853357239665688","0.00865800865800866","0.0129032258064516","0.0131004366812227","0.0131291028446389","500","urban","poor_npl1"
"65","35","0.837837837837838","0.842105263157895","0.864864864864865","0.9","0.902439024390244","0.0108695652173913","0.0128755364806867","0.0152505446623094","0.0174672489082969","0.0175054704595186","500","urban","poor_npl1"
"66","40","0.810810810810811","0.815789473684211","0.842105263157895","0.878048780487805","0.891891891891892","0.0152830103414486","0.017353579175705","0.0216919739696312","0.0239651416122004","0.0240174672489083","500","urban","poor_npl1"
"67","45","0.783783783783784","0.789473684210526","0.82051282051282","0.857308970099668","0.868421052631579","0.0260869565217391","0.0280777537796976","0.0326797385620915","0.0369565217391304","0.037037037037037","500","urban","poor_npl1"
"68","50","0.736842105263158","0.743589743589744","0.775","0.818298368298368","0.825","0.0326069272847307","0.0347034021654412","0.0411255411255411","0.0454545454545455","0.0456521739130435","500","urban","poor_npl1"
"69","55","0.684210526315789","0.692307692307692","0.731707317073171","0.771428571428571","0.783783783783784","0.0631808278867102","0.0652173913043478","0.0735930735930736","0.0787746170678337","0.0802603036876356","500","urban","poor_npl1"
"70","60","0.567567567567568","0.578947368421053","0.621621621621622","0.666666666666667","0.675675675675676","0.104569479965899","0.106510185796473","0.115217391304348","0.123110151187905","0.124183006535948","500","urban","poor_npl1"
"71","65","0.459401544401544","0.461538461538462","0.51219512195122","0.552631578947368","0.564189189189189","0.16414686825054","0.165920788499776","0.176855895196507","0.18575766455095","0.187363834422658","500","urban","poor_npl1"
"72","70","0.324143045484509","0.333333333333333","0.380952380952381","0.425","0.432432432432432","0.226579520697168","0.228758169934641","0.239740820734341","0.250539956803456","0.252155172413793","500","urban","poor_npl1"
"73","75","0.230769230769231","0.243243243243243","0.289473684210526","0.325","0.342105263157895","0.335497835497836","0.337690631808279","0.351293103448276","0.364035087719298","0.365800865800866","500","urban","poor_npl1"
