cluster_lat,cluster_lon,geometry,latitude,longitude,rwi,error,closest_rwi_geom,distance
9.59216564305,41.8881885833,POINT (41.8881885833 9.59216564305),9.5899171,41.8908691,0.208,0.444,POINT (41.8908691 9.5899171),351.40201940264615
9.59312086698,41.8806429111,POINT (41.8806429111 9.59312086698),9.5899171,41.8908691,0.208,0.444,POINT (41.8908691 9.5899171),1167.6197817017232
9.59512477587,41.8583147026,POINT (41.8583147026 9.59512477587),9.5899171,41.8688965,1.802,0.554,POINT (41.8688965 9.5899171),1253.181967829569
9.59668925373,41.8551594457,POINT (41.8551594457 9.59668925373),9.5899171,41.8469238,1.38,0.543,POINT (41.8469238 9.5899171),1073.8942439031582
9.59938921646,41.8323414658,POINT (41.8323414658 9.59938921646),9.5899171,41.8249512,0.205,0.517,POINT (41.8249512 9.5899171),1136.3256169219533
9.60099488598,41.8533743345,POINT (41.8533743345 9.60099488598),9.611582,41.8469238,1.15,0.528,POINT (41.8469238 9.611582),1132.8929129273142
9.60298076521,42.0803290584,POINT (42.0803290584 9.60298076521),9.5899171,42.088623,-0.413,0.368,POINT (42.088623 9.5899171),1418.7193449289593
9.60370084541,41.8458991657,POINT (41.8458991657 9.60370084541),9.611582,41.8469238,1.15,0.528,POINT (41.8469238 9.611582),662.6880163017184
9.60399940648,41.8653874632,POINT (41.8653874632 9.60399940648),9.611582,41.8688965,1.123,0.531,POINT (41.8688965 9.611582),739.2475044678283
9.61257094668,39.7830434463,POINT (39.7830434463 9.61257094668),9.611582,39.7814941,-0.318,0.358,POINT (39.7814941 9.611582),191.88954158935556
9.61620020371,41.8498560874,POINT (41.8498560874 9.61620020371),9.611582,41.8469238,1.15,0.528,POINT (41.8469238 9.611582),502.63309582183274
9.61703828694,41.7918254092,POINT (41.7918254092 9.61703828694),9.611582,41.7810059,1.294,0.568,POINT (41.7810059 9.611582),1285.3171665763266
9.62033298025,34.5342648788,POINT (34.5342648788 9.62033298025),9.611582,34.5300293,-0.408,0.369,POINT (34.5300293 9.611582),929.7364218713708
9.62049249822,41.820759451,POINT (41.820759451 9.62049249822),9.611582,41.8249512,1.14,0.543,POINT (41.8249512 9.611582),873.1664117473398
9.62676698518,41.625560872,POINT (41.625560872 9.62676698518),9.6332456,41.6271973,-0.795,0.404,POINT (41.6271973 9.6332456),568.3984531561687
9.63095228353,42.146104574,POINT (42.146104574 9.63095228353),9.6332456,42.154541,-0.442,0.355,POINT (42.154541 9.6332456),956.9489948728633
9.66381415681,41.7895497706,POINT (41.7895497706 9.66381415681),9.6549077,41.7810059,-0.458,0.378,POINT (41.7810059 9.6549077),1203.279142989055
9.66572734969,39.5581581156,POINT (39.5581581156 9.66572734969),9.6549077,39.5617676,-0.356,0.358,POINT (39.5617676 9.6549077),1010.6451152227004
9.67897313862,39.913593504,POINT (39.913593504 9.67897313862),9.6982277,39.9133301,-0.544,0.353,POINT (39.9133301 9.6982277),1642.4463609550467
9.69228109533,34.7921192525,POINT (34.7921192525 9.69228109533),9.6982277,34.7937012,-0.382,0.371,POINT (34.7937012 9.6982277),570.7976172267524
9.73443000378,34.7285555289,POINT (34.7285555289 9.73443000378),9.7415422,34.7277832,-0.067,0.411,POINT (34.7277832 9.7415422),655.6120965815181
9.74422788621,34.7872968911,POINT (34.7872968911 9.74422788621),9.7415422,34.7717285,-0.461,0.374,POINT (34.7717285 9.7415422),1748.4170297907144
9.74677172525,42.3089673942,POINT (42.3089673942 9.74677172525),9.7415422,42.3083496,-0.582,0.361,POINT (42.3083496 9.7415422),435.4861863854194
9.75488202595,34.7602016893,POINT (34.7602016893 9.75488202595),9.7631974,34.7497559,-0.203,0.435,POINT (34.7497559 9.7631974),1387.8856633812663
9.7591387282,37.044814049,POINT (37.044814049 9.7591387282),9.7631974,37.0349121,-0.162,0.35,POINT (37.0349121 9.7631974),1158.4795556501874
9.77979055862,38.658246372,POINT (38.658246372 9.77979055862),9.7848511,38.6608887,-0.238,0.377,POINT (38.6608887 9.7848511),528.5830028113409
9.79007481406,37.5059416726,POINT (37.5059416726 9.79007481406),9.7848511,37.4963379,-0.64,0.352,POINT (37.4963379 9.7848511),1163.0731005475625
9.83705860887,34.9150151529,POINT (34.9150151529 9.83705860887),9.8281543,34.9255371,-0.273,0.36,POINT (34.9255371 9.8281543),1424.0644121936405
9.8440806253,37.1271346597,POINT (37.1271346597 9.8440806253),9.8498038,37.1228027,-0.057,0.365,POINT (37.1228027 9.8498038),699.6338085350801
9.84708661386,36.3422982077,POINT (36.3422982077 9.84708661386),9.8498038,36.3317871,-0.361,0.355,POINT (36.3317871 9.8498038),1193.8540205469653
9.89048905403,39.4845296,POINT (39.4845296 9.89048905403),9.8930985,39.473877,-0.263,0.344,POINT (39.473877 9.8930985),1205.5014569030318
9.8912342367,38.3744314394,POINT (38.3744314394 9.8912342367),9.8930985,38.3752441,-0.071,0.345,POINT (38.3752441 9.8930985),185.94691333487776
9.91264985014,42.4725493546,POINT (42.4725493546 9.91264985014),9.9147437,42.4621582,-0.848,0.344,POINT (42.4621582 9.9147437),1168.138244723058
9.99190626942,37.6925527139,POINT (37.6925527139 9.99190626942),10.0013102,37.6940918,-0.319,0.372,POINT (37.6940918 10.0013102),844.9457620049881
10.0165864149,38.2492265926,POINT (38.2492265926 10.0165864149),10.0229482,38.2434082,0.125,0.386,POINT (38.2434082 10.0229482),852.7745690147991
10.0245110384,39.2131652933,POINT (39.2131652933 10.0245110384),10.0229482,39.2102051,-0.21,0.348,POINT (39.2102051 10.0229482),355.6334860646433
10.0723776044,34.5525967064,POINT (34.5525967064 10.0723776044),10.0662199,34.552002,1.265,0.595,POINT (34.552002 10.0662199),567.7934696080038
10.0735747444,35.299088631,POINT (35.299088631 10.0735747444),10.0662199,35.2990723,-0.545,0.371,POINT (35.2990723 10.0662199),667.464827533169
10.081237992,34.6831901825,POINT (34.6831901825 10.081237992),10.0878536,34.6838379,-0.375,0.381,POINT (34.6838379 10.0878536),609.1803403403869
10.1249269842,39.6713085476,POINT (39.6713085476 10.1249269842),10.1311167,39.6716309,-0.235,0.435,POINT (39.6716309 10.1311167),530.9808403505341
10.1255685035,39.3173063282,POINT (39.3173063282 10.1255685035),10.1311167,39.3200684,-0.594,0.345,POINT (39.3200684 10.1311167),567.5586905771979
10.1771510236,38.9727796823,POINT (38.9727796823 10.1771510236),10.1960002,38.9685059,0.099,0.346,POINT (38.9685059 10.1960002),1697.402881710651
10.1813677297,35.281505142,POINT (35.281505142 10.1813677297),10.1960002,35.2990723,-0.532,0.364,POINT (35.2990723 10.1960002),2362.082902351527
10.1897627775,39.4619581961,POINT (39.4619581961 10.1897627775),10.1960002,39.4519043,-0.265,0.351,POINT (39.4519043 10.1960002),1239.5815899597455
10.3526409665,39.9574728242,POINT (39.9574728242 10.3526409665),10.3473437,39.9572754,0.954,0.508,POINT (39.9572754 10.3473437),452.0374318743266
10.3608222301,35.9589938306,POINT (35.9589938306 10.3608222301),10.3689583,35.958252,-0.629,0.357,POINT (35.958252 10.3689583),736.9243666819613
10.4180717415,38.1697121297,POINT (38.1697121297 10.4180717415),10.412183,38.1774902,-0.689,0.354,POINT (38.1774902 10.412183),1006.4804805655986
10.4216173585,37.5765488785,POINT (37.5765488785 10.4216173585),10.412183,37.5842285,-0.32,0.368,POINT (37.5842285 10.412183),1191.7992584159713
10.4376029071,38.3184384011,POINT (38.3184384011 10.4376029071),10.4337931,38.3093262,0.172,0.351,POINT (38.3093262 10.4337931),1066.3585941338406
10.4624101433,42.2434955736,POINT (42.2434955736 10.4624101433),10.4554016,42.2424316,-0.081,0.332,POINT (42.2424316 10.4554016),588.9326753317297
10.4822087828,34.7861778123,POINT (34.7861778123 10.4822087828),10.4770087,34.7937012,-0.271,0.363,POINT (34.7937012 10.4770087),961.9427225720823
10.4981528016,42.594943322,POINT (42.594943322 10.4981528016),10.4770087,42.5939941,-0.496,0.333,POINT (42.5939941 10.4770087),1734.0191906493985
10.5023759921,36.0048077152,POINT (36.0048077152 10.5023759921),10.4986143,36.0021973,0.069,0.366,POINT (36.0021973 10.4986143),445.8203075735204
10.5281537836,39.8131068222,POINT (39.8131068222 10.5281537836),10.5202184,39.8034668,-0.709,0.337,POINT (39.8034668 10.5202184),1268.255521763826
10.5345284745,39.2707339047,POINT (39.2707339047 10.5345284745),10.5418209,39.276123,0.056,0.353,POINT (39.276123 10.5418209),867.8328630089092
10.5635333752,37.4897795586,POINT (37.4897795586 10.5635333752),10.5634219,37.4963379,0.256,0.497,POINT (37.4963379 10.5634219),729.3206058825679
10.5685626516,39.2356643786,POINT (39.2356643786 10.5685626516),10.5634219,39.2321777,0.237,0.341,POINT (39.2321777 10.5634219),588.5168258787168
10.5723047065,36.0713716954,POINT (36.0713716954 10.5723047065),10.5634219,36.0681152,-0.456,0.361,POINT (36.0681152 10.5634219),876.6567648290264
10.5738928409,39.9354279996,POINT (39.9354279996 10.5738928409),10.5634219,39.9353027,0.147,0.408,POINT (39.9353027 10.5634219),892.8698358777665
10.5773759639,37.0449675094,POINT (37.0449675094 10.5773759639),10.5850215,37.0349121,0.068,0.346,POINT (37.0349121 10.5850215),1307.9249823891062
10.5792188385,38.6062533111,POINT (38.6062533111 10.5792188385),10.5850215,38.6169434,-0.352,0.352,POINT (38.6169434 10.5850215),1291.1864693298958
10.5794319268,37.798498412,POINT (37.798498412 10.5794319268),10.5850215,37.8039551,-0.293,0.357,POINT (37.8039551 10.5850215),780.5963852736619
10.5883521237,39.9074958295,POINT (39.9074958295 10.5883521237),10.5850215,39.9133301,0.12,0.439,POINT (39.9133301 10.5850215),708.2118308361652
10.5892768292,37.4615982338,POINT (37.4615982338 10.5892768292),10.5850215,37.4523926,-0.322,0.384,POINT (37.4523926 10.5850215),1090.3571616081304
10.7206898499,39.8860291278,POINT (39.8860291278 10.7206898499),10.7145865,39.8913574,-0.59,0.362,POINT (39.8913574 10.7145865),788.7901972334275
10.7230135909,37.2593232874,POINT (37.2593232874 10.7230135909),10.7145865,37.2546387,-0.457,0.374,POINT (37.2546387 10.7145865),909.7215220412625
10.7272867937,38.7178743781,POINT (38.7178743781 10.7272867937),10.7361753,38.7268066,0.268,0.358,POINT (38.7268066 10.7361753),1257.4103848429334
10.7561984007,38.7696742804,POINT (38.7696742804 10.7561984007),10.7577626,38.770752,0.175,0.438,POINT (38.770752 10.7577626),180.97055425159255
