"","cutoff","2.5%_excl","5%_excl","50%_excl","95%_excl","97.5%_excl","2.5%_incl","5%_incl","50%_incl","95%_incl","97.5%_incl","obs","zone","povline"
"1791","20","0.533333333333333","0.571428571428571","0.741338112305854","0.9","0.928571428571429","0.0487804878048781","0.0581395348837209","0.103448275862069","0.160493827160494","0.16867861054608","100","full","poor_bottom_20"
"1792","25","0.136287878787879","0.166666666666667","0.333333333333333","0.545454545454545","0.583455882352941","0.220926457263667","0.231707317073171","0.313253012048193","0.397840909090909","0.414634146341463","100","full","poor_bottom_20"
"1793","30","0.136287878787879","0.166666666666667","0.333333333333333","0.545454545454545","0.583455882352941","0.220926457263667","0.231707317073171","0.313953488372093","0.4","0.414634146341463","100","full","poor_bottom_20"
"1794","35","0","0.04","0.157894736842105","0.318939393939393","0.357142857142857","0.382687621832359","0.404645760743322","0.488095238095238","0.576923076923077","0.590361445783133","100","full","poor_bottom_20"
"1795","40","0","0","0.142857142857143","0.3","0.320333333333333","0.45679012345679","0.48098799934243","0.564102564102564","0.649350649350649","0.662345485839462","100","full","poor_bottom_20"
"1796","45","0","0","0.0769230769230769","0.2","0.230769230769231","0.582179350312643","0.6","0.67948717948718","0.762532894736842","0.779252454862211","100","full","poor_bottom_20"
"1797","50","0","0","0","0.105263157894737","0.125","0.761891233766234","0.772727272727273","0.839506172839506","0.9","0.911783088235294","100","full","poor_bottom_20"
"1798","55","0","0","0","0.0909090909090909","0.111111111111111","0.816084392014519","0.825552325581395","0.884836427939876","0.936748417721519","0.948068598068598","100","full","poor_bottom_20"
"1799","60","0","0","0","0.08","0.105263157894737","0.89654052843708","0.905882352941176","0.949367088607595","0.987349683544304","0.987951807228916","100","full","poor_bottom_20"
"1800","65","0","0","0","0.0588235294117647","0.0666666666666667","0.930212038303693","0.9375","0.975","1","1","100","full","poor_bottom_20"
"1801","70","0","0","0","0","0","0.986666666666667","0.987341772151899","1","1","1","100","full","poor_bottom_20"
"1802","75","0","0","0","0","0","1","1","1","1","1","100","full","poor_bottom_20"
"1803","80","0","0","0","0","0","1","1","1","1","1","100","full","poor_bottom_20"
"1804","85","0","0","0","0","0","1","1","1","1","1","100","full","poor_bottom_20"
"1805","90","0","0","0","0","0","1","1","1","1","1","100","full","poor_bottom_20"
"1806","95","0","0","0","0","0","1","1","1","1","1","100","full","poor_bottom_20"
"1807","5","0.948711340206186","0.952913165266106","0.977272727272727","1","1","0.00248740787378245","0.00483091787439614","0.00998753117206982","0.0191846522781775","0.0199017381918338","500","full","poor_bottom_20"
"1808","10","0.933317307692308","0.938750314940791","0.967032967032967","0.989690721649485","1","0.00491370381076263","0.00717617704491213","0.0143884892086331","0.0223908512301336","0.0244498777506112","500","full","poor_bottom_20"
"1809","15","0.663256707177253","0.677777777777778","0.742101762554041","0.808080808080808","0.817329545454545","0.0837435477408254","0.0880195599022005","0.107617482247517","0.129044059795437","0.132215073529412","500","full","poor_bottom_20"
"1810","20","0.663256707177253","0.677777777777778","0.742101762554041","0.808080808080808","0.817329545454545","0.0845314966279237","0.0884486759486759","0.108641975308642","0.130107995286567","0.133180146498253","500","full","poor_bottom_20"
"1811","25","0.268763440860215","0.281232443820225","0.347826086956522","0.420022727272727","0.435331304935767","0.28287841191067","0.286730626208538","0.317617866004963","0.348780487804878","0.35266410912191","500","full","poor_bottom_20"
"1812","30","0.268763440860215","0.281232443820225","0.347826086956522","0.420022727272727","0.435331304935767","0.284000654029741","0.287858312858313","0.318457372466806","0.349532631477511","0.353544091228618","500","full","poor_bottom_20"
"1813","35","0.103439388553146","0.11340206185567","0.164948453608247","0.21978021978022","0.230789473684211","0.452322738386308","0.459238939687818","0.493961317424662","0.52605459057072","0.531487827394781","500","full","poor_bottom_20"
"1814","40","0.0860051140833989","0.0967741935483871","0.148725510848957","0.202253879079722","0.211764705882353","0.527313709696385","0.534427032037541","0.56889992839241","0.599503091339419","0.606437659743418","500","full","poor_bottom_20"
"1815","45","0.0370257452574526","0.043956043956044","0.0825215170717866","0.123595505617978","0.132530120481928","0.645476772616137","0.651642415340303","0.683698296836983","0.714656407112924","0.72029018363183","500","full","poor_bottom_20"
"1816","50","0","0.0099950495049505","0.0309278350515464","0.0555555555555556","0.0597089552238806","0.807106598984772","0.811719863857256","0.838308457711443","0.862749987775659","0.867303613744076","500","full","poor_bottom_20"
"1817","55","0","0","0.0222222222222222","0.0459770114942529","0.0512820512820513","0.856052733940876","0.860226458660194","0.882939241606157","0.904183369972844","0.908023110866614","500","full","poor_bottom_20"
"1818","60","0","0","0.0128205128205128","0.0352941176470588","0.0396342695494039","0.926576866412099","0.930521091811414","0.946341463414634","0.961169750111662","0.963874602182314","500","full","poor_bottom_20"
"1819","65","0","0","0.00943396226415094","0.021505376344086","0.0224719101123595","0.956728162650602","0.95932526705908","0.970909048167564","0.982323232323232","0.983373906631694","500","full","poor_bottom_20"
"1820","70","0","0","0","0","0","0.992592134213421","0.992753623188406","0.997536945812808","1","1","500","full","poor_bottom_20"
"1821","75","0","0","0","0","0","1","1","1","1","1","500","full","poor_bottom_20"
"1822","80","0","0","0","0","0","1","1","1","1","1","500","full","poor_bottom_20"
"1823","85","0","0","0","0","0","1","1","1","1","1","500","full","poor_bottom_20"
"1824","90","0","0","0","0","0","1","1","1","1","1","500","full","poor_bottom_20"
"1825","95","0","0","0","0","0","1","1","1","1","1","500","full","poor_bottom_20"
"1826","5","0.92852787456446","0.937433510638298","0.978723404255319","1","1","0","0","0.0178571428571429","0.0491803278688525","0.0555555555555556","100","rural","poor_bottom_40"
"1827","10","0.92852787456446","0.937433510638298","0.978723404255319","1","1","0","0","0.0178571428571429","0.0491803278688525","0.0555555555555556","100","rural","poor_bottom_40"
"1828","15","0.641025641025641","0.659574468085106","0.764705882352941","0.854166666666667","0.869620958751393","0.0769230769230769","0.0925925925925926","0.169651423089223","0.254563279857397","0.274561952440551","100","rural","poor_bottom_40"
"1829","20","0.641025641025641","0.659574468085106","0.764705882352941","0.854166666666667","0.869620958751393","0.0769230769230769","0.0925925925925926","0.169651423089223","0.254563279857397","0.274561952440551","100","rural","poor_bottom_40"
"1830","25","0.214247720364742","0.239130434782609","0.340425531914894","0.446808510638298","0.471747765640516","0.344262295081967","0.36","0.464285714285714","0.563756432246998","0.583372641509434","100","rural","poor_bottom_40"
"1831","30","0.214247720364742","0.239130434782609","0.340425531914894","0.446808510638298","0.471747765640516","0.344262295081967","0.36","0.464285714285714","0.563756432246998","0.583372641509434","100","rural","poor_bottom_40"
"1832","35","0.0232558139534884","0.0416666666666667","0.0975609756097561","0.173076923076923","0.187529481132075","0.673459576138148","0.690909090909091","0.781818181818182","0.866729559748428","0.88","100","rural","poor_bottom_40"
"1833","40","0.0222101449275362","0.04","0.0952380952380952","0.166843971631206","0.1875","0.68516081871345","0.703703703703704","0.790510127531883","0.875","0.888888888888889","100","rural","poor_bottom_40"
"1834","45","0","0","0","0.0357467532467532","0.0425763182238668","0.944418238993711","0.949152542372881","0.982299498746867","1","1","100","rural","poor_bottom_40"
"1835","50","0","0","0","0.0227272727272727","0.024390243902439","0.976175958188153","0.979166666666667","1","1","1","100","rural","poor_bottom_40"
"1836","55","0","0","0","0","0","0.980769230769231","0.982142857142857","1","1","1","100","rural","poor_bottom_40"
"1837","60","0","0","0","0","0","0.980769230769231","0.982142857142857","1","1","1","100","rural","poor_bottom_40"
"1838","65","0","0","0","0","0","1","1","1","1","1","100","rural","poor_bottom_40"
"1839","70","0","0","0","0","0","1","1","1","1","1","100","rural","poor_bottom_40"
"1840","75","0","0","0","0","0","1","1","1","1","1","100","rural","poor_bottom_40"
"1841","80","0","0","0","0","0","1","1","1","1","1","100","rural","poor_bottom_40"
"1842","85","0","0","0","0","0","1","1","1","1","1","100","rural","poor_bottom_40"
"1843","90","0","0","0","0","0","1","1","1","1","1","100","rural","poor_bottom_40"
"1844","95","0","0","0","0","0","1","1","1","1","1","100","rural","poor_bottom_40"
"1845","5","0.961702127659574","0.963409040053703","0.977272727272727","0.988156027286462","0.991379310344828","0.00729860650298607","0.00748923919727207","0.0178571428571429","0.0265151515151515","0.0282258064516129","500","rural","poor_bottom_40"
"1846","10","0.961702127659574","0.963409040053703","0.977272727272727","0.988156027286462","0.991379310344828","0.00729860650298607","0.00748923919727207","0.0178571428571429","0.0265151515151515","0.0282258064516129","500","rural","poor_bottom_40"
"1847","15","0.719435956200662","0.724137931034483","0.760683760683761","0.793103448275862","0.798284163450788","0.137674244938599","0.142335082971104","0.171053189534539","0.199174024272299","0.204460966542751","500","rural","poor_bottom_40"
"1848","20","0.719435956200662","0.724137931034483","0.760683760683761","0.793103448275862","0.798284163450788","0.137674244938599","0.142335082971104","0.171053189534539","0.199174024272299","0.204460966542751","500","rural","poor_bottom_40"
"1849","25","0.293076747024718","0.300793816951045","0.338983050847458","0.376034823762097","0.384297520661157","0.418243895556084","0.426412169080006","0.462686567164179","0.5","0.507727272727273","500","rural","poor_bottom_40"
"1850","30","0.293076747024718","0.300793816951045","0.338983050847458","0.376034823762097","0.384297520661157","0.418243895556084","0.426412169080006","0.462686567164179","0.5","0.507727272727273","500","rural","poor_bottom_40"
"1851","35","0.0707964601769911","0.0752212389380531","0.0990990990990991","0.123371092930564","0.127118644067797","0.742534486657621","0.749048695626642","0.780669144981413","0.810815724815725","0.816795291222772","500","rural","poor_bottom_40"
"1852","40","0.0693846629560915","0.0732650370020469","0.0968452465539292","0.120189875843041","0.126051333576909","0.752938939834489","0.759848295407185","0.790292376464903","0.819494584837545","0.82400546875","500","rural","poor_bottom_40"
"1853","45","0","0.0038895482475249","0.00881057268722467","0.0170212765957447","0.017701081612586","0.970802919708029","0.973277324442105","0.982237954620025","0.992592592592593","0.995919193588367","500","rural","poor_bottom_40"
"1854","50","0","0","0.00421940928270042","0.00865800865800866","0.00884955752212389","0.988461538461539","0.988721804511278","0.99609375","1","1","500","rural","poor_bottom_40"
"1855","55","0","0","0","0","0","0.996062603093586","0.996108949416342","1","1","1","500","rural","poor_bottom_40"
"1856","60","0","0","0","0","0","0.996062603093586","0.996108949416342","1","1","1","500","rural","poor_bottom_40"
"1857","65","0","0","0","0","0","1","1","1","1","1","500","rural","poor_bottom_40"
"1858","70","0","0","0","0","0","1","1","1","1","1","500","rural","poor_bottom_40"
"1859","75","0","0","0","0","0","1","1","1","1","1","500","rural","poor_bottom_40"
"1860","80","0","0","0","0","0","1","1","1","1","1","500","rural","poor_bottom_40"
"1861","85","0","0","0","0","0","1","1","1","1","1","500","rural","poor_bottom_40"
"1862","90","0","0","0","0","0","1","1","1","1","1","500","rural","poor_bottom_40"
"1863","95","0","0","0","0","0","1","1","1","1","1","500","rural","poor_bottom_40"
"1864","5","1","1","1","1","1","0","0","0","0","0","100","urban","poor_bottom_40"
"1865","10","1","1","1","1","1","0","0","0","0","0","100","urban","poor_bottom_40"
"1866","15","0.909090909090909","0.923076923076923","1","1","1","0","0","0","0.0128205128205128","0.0232626538987688","100","urban","poor_bottom_40"
"1867","20","0.909090909090909","0.923076923076923","1","1","1","0","0","0","0.0128205128205128","0.0232626538987688","100","urban","poor_bottom_40"
"1868","25","0.714285714285714","0.736666666666667","0.875","1","1","0","0","0.0126582278481013","0.0384615384615385","0.0487804878048781","100","urban","poor_bottom_40"
"1869","30","0.714285714285714","0.736666666666667","0.875","1","1","0","0","0.0221001221001221","0.0465116279069767","0.05","100","urban","poor_bottom_40"
"1870","35","0.555555555555556","0.588235294117647","0.75","0.895","0.928571428571429","0.0493827160493827","0.0594545957918051","0.109756097560976","0.160981671326499","0.168726124008228","100","urban","poor_bottom_40"
"1871","40","0.5","0.538461538461538","0.708333333333333","0.866666666666667","0.9","0.102556818181818","0.114942528735632","0.175","0.235371517027864","0.25","100","urban","poor_bottom_40"
"1872","45","0.210263157894737","0.25","0.428571428571429","0.615384615384615","0.647058823529412","0.282022471910112","0.297619047619048","0.375","0.454545454545455","0.47135775862069","100","urban","poor_bottom_40"
"1873","50","0.0767857142857143","0.111111111111111","0.263157894736842","0.444444444444444","0.470588235294118","0.523809523809524","0.537454268292683","0.617630739353586","0.69666617386162","0.70938226744186","100","urban","poor_bottom_40"
"1874","55","0.05","0.0625","0.2","0.375","0.4","0.63855421686747","0.650602409638554","0.723287888395688","0.79530263912794","0.811764705882353","100","urban","poor_bottom_40"
"1875","60","0","0","0.117647058823529","0.25","0.285924369747899","0.795447699890471","0.807669138090825","0.865168539325843","0.921052631578947","0.929432284541724","100","urban","poor_bottom_40"
