"2.5%","97.5%","mean_error_model","obs","zone","povline"
"-11.8139759042113","12.3742511247077","-0.0861875493223345","100","full","poor_150npl1"
"-10.2657450616684","10.0229943304621","0.0336542537447511","150","full","poor_150npl1"
"-8.52512307421481","7.84659350136302","0.157432992681577","200","full","poor_150npl1"
"-7.10267154752586","7.11021506678945","-0.0819272364905002","250","full","poor_150npl1"
"-6.26896686317915","6.09559764886325","0.11581873835391","300","full","poor_150npl1"
"-6.10623489162531","6.01602594048654","0.180339220743287","350","full","poor_150npl1"
"-5.1412377956027","5.21176716124222","0.0157464443367002","400","full","poor_150npl1"
"-4.77961460067618","4.90659170497514","0.109689300081145","450","full","poor_150npl1"
"-4.52299850603597","5.04238597437153","0.185388266503178","500","full","poor_150npl1"
"-12.4254559204336","12.6650260635454","-3.8250508969093","100","rural","poor_200npl1"
"-9.87807569508697","10.0830519572268","-3.61147731747261","150","rural","poor_200npl1"
"-8.20291758468631","8.7010961375805","-3.2709870220627","200","rural","poor_200npl1"
"-6.50832744644816","7.61646536333857","-3.33474230910601","250","rural","poor_200npl1"
"-6.39311039333008","6.22738766587804","-3.40224074088538","300","rural","poor_200npl1"
"-5.62428860019747","6.04563634497962","-3.41119686223832","350","rural","poor_200npl1"
"-5.58508311501262","5.08089080851639","-3.5260200031449","400","rural","poor_200npl1"
"-4.95895707008401","4.89828117376129","-3.370874507454","450","rural","poor_200npl1"
"-4.47776776752928","3.98889728204897","-3.32255811480569","500","rural","poor_200npl1"
"-10.9853765916234","10.0684673440422","4.45837801549104","100","urban","poor_200npl1"
"-7.99103433349965","7.42241396698229","4.45347515591795","150","urban","poor_200npl1"
"-6.87799344364334","6.51816549841386","4.58485955678356","200","urban","poor_200npl1"
"-5.9814748011858","6.11051419393981","4.52186083188491","250","urban","poor_200npl1"
"-4.60305588198915","4.79700788722973","4.70684077894199","300","urban","poor_200npl1"
"-4.05523555805402","4.25412091618736","4.595389843626","350","urban","poor_200npl1"
"-3.21849842763359","3.33951177616283","4.60362093988714","400","urban","poor_200npl1"
"-2.63999755142443","2.46151258254017","4.55736975933416","450","urban","poor_200npl1"
"-1.84002179269997","1.96080818990541","4.53026239416215","500","urban","poor_200npl1"
"-12.7685377937442","13.6626678732194","-1.1521738703339","100","full","poor_200npl1"
"-10.0641621076541","10.3002569208497","-1.13034576686303","150","full","poor_200npl1"
"-8.92189011648726","8.57795586778516","-1.02727780071717","200","full","poor_200npl1"
"-7.27963584697904","7.37739122914242","-1.25375816020971","250","full","poor_200npl1"
"-6.75852986478357","6.67856310850266","-1.19081744746459","300","full","poor_200npl1"
"-5.8601482877274","6.19470425698084","-1.23023063640078","350","full","poor_200npl1"
"-5.65223360251029","6.05883966609567","-1.29113504005154","400","full","poor_200npl1"
"-5.10385822791684","4.94779553556922","-1.25211832083476","450","full","poor_200npl1"
"-5.04999307609785","4.72168657801295","-1.0419163158593","500","full","poor_200npl1"
"-4.79734884751266","2.78518661209524","0.86206150040326","100","rural","poor_2011_100"
"-3.42131254329291","2.38935290970399","0.935906345463801","150","rural","poor_2011_100"
"-2.98710660708266","2.14665651647452","0.920773137604634","200","rural","poor_2011_100"
"-2.46192040700271","1.93644910294168","0.97449534661315","250","rural","poor_2011_100"
"-2.12694057755828","1.75265416834728","0.879578277963633","300","rural","poor_2011_100"
"-1.95709742853331","1.64787024996922","0.979225730724656","350","rural","poor_2011_100"
"-1.74356639768993","1.58950715036028","0.924985827928904","400","rural","poor_2011_100"
"-1.58417800862287","1.40116620078374","0.956734220276156","450","rural","poor_2011_100"
"-1.4013997785385","1.2809342992647","0.948933280356725","500","rural","poor_2011_100"
"-4.19289070840629","2.05998773699809","-1.3722344360096","100","urban","poor_2011_100"
"-3.02867747635716","1.97250120669701","-1.34565455676463","150","urban","poor_2011_100"
"-2.1253841446295","1.84671424708312","-1.44915214349434","200","urban","poor_2011_100"
"-1.79934753106329","1.60583219525814","-1.43899336745059","250","urban","poor_2011_100"
"-1.38149892921998","1.48780607828172","-1.37227714647098","300","urban","poor_2011_100"
"-1.10571032151751","1.31291764154715","-1.39744032459163","350","urban","poor_2011_100"
"-0.852438254664141","1.09851546770204","-1.38571878832579","400","urban","poor_2011_100"
"-0.558375614840902","0.925029883049619","-1.39519430401115","450","urban","poor_2011_100"
"-0.334524551766164","0.807575993591394","-1.37850962180158","500","urban","poor_2011_100"
"-5.40958883728092","2.64867019883907","0.27006950971506","100","full","poor_2011_100"
"-3.40235285615209","2.35978698763186","0.365766117224594","150","full","poor_2011_100"
"-3.24232956520643","2.13393967353762","0.366976869730963","200","full","poor_2011_100"
"-2.43909504291527","1.9523419282043","0.240748699761547","250","full","poor_2011_100"
"-2.30734587145396","1.84475974688207","0.279787947624034","300","full","poor_2011_100"
"-2.11675200214032","1.72874941003073","0.300026777168097","350","full","poor_2011_100"
"-1.93254182709555","1.54644483970919","0.277759788040784","400","full","poor_2011_100"
"-1.77926061482795","1.57948856397901","0.286101236483935","450","full","poor_2011_100"
"-1.52256105285858","1.43764216765239","0.301599358322669","500","full","poor_2011_100"
"-8.59040073106572","7.6908698246518","3.18489382070231","100","rural","poor_2011_190"
"-6.57534715272654","6.24288765746976","3.55806410767412","150","rural","poor_2011_190"
"-5.64460335827096","4.86658179553605","3.16728878398959","200","rural","poor_2011_190"
"-5.12585194726368","4.77710384987268","3.30964263943842","250","rural","poor_2011_190"
"-4.28401386055081","4.23867549268925","3.25711423477808","300","rural","poor_2011_190"
"-4.23891046485102","3.75776635177028","3.32690256792121","350","rural","poor_2011_190"
"-3.47840336529456","3.2870329049912","3.23173524575919","400","rural","poor_2011_190"
