"ea_id","ea_id2","household_id2","water_id","ess3_saq01","saq01","saq02","saq03","saq06","saq07","pw_w3","wq_c04","wq_a01","wq_a02","wq_a02_other","wq_a03","wq_a04","wq_a04_other","wq_a04b","wq_a05","wq_a05_oth","wq_a06","wq_a06b","wq_a07","wq_a08a","wq_a08b","wq_a08b_other","wq_a09","wq_a10a","wq_a10b","wq_a11","wq_a12","wq_a13_hour","wq_a13_minute","wq_a13_dayNight","wq_a14","wq_a15","wq_a16","wq_a18","wq_a20","wq_a21","wq_a22","wq_a23","wq_a24_hour","wq_a24_minute","wq_a24_dayNight","wq_a25","wq_a26","wq_a26_oth","wq_a27","wq_b01","wq_b02","wq_b03","wq_b04","wq_b05","wq_b06","wq_b07","wq_b08","wq_b09","wq_b10","wq_b11","wq_b12","wq_b13","wq_b14","wq_b15","wq_b16","wq_b17","wq_b18","wq_b19","wq_b20","wq_b21","wq_b22","wq_a1_hour","wq_addlblank","wq_b05_adj","wq_b06_adj","wq_b10_adj","wq_b15_adj","wq_b16_adj","barcode","hhpart","srcpart","h20fetch_HHtottime","h20fetch_trips","labElectricalConductivityµScm","labTotalIronmglFe2Fe","labTotalHardnessmglCaCO3","labFluoridemglF","labNo"
"01010300106","010103010100106","010103010100106040",1027,1,1,1,3,1,6,1352.4267578125,2,1,,,2,,,3,3,,,1,1,1,1,,1,1,,2,1,8,20,1,0.27,2,,,,,,,,,,1030,,,,1,"wq_b02.jpg",3,0,101,6,,,,,1,"wq_b12.jpg",14,0,101,12,,,,,,,,,101,6,,101,12,,1,,30,1,,,,,
"01010300106","010103010100106","010103010100106052",1028,1,1,1,3,1,6,1352.4267578125,2,1,,,2,,,2,2,,2,1,2,2,,,1,1,,2,1,11,5,1,0.09,1,"wq_a16.jpg",1,1,0.2,0.41,1,11,5,1,,,,2,1,"wq_b02.jpg",0,0,2,3,,,,,1,"wq_b12.jpg",4,0,101,0,1,"wq_b18.jpg",0,0,0,0,,,2,3,,101,0,"00003059",1,1,0,0,453,0.260430008172989,234,0.559597194194794,1629
"01010300106","010103010100106","010103010100106064",1029,1,1,1,3,1,6,1352.4267578125,2,1,,,2,,,1,2,,2,1,2,2,,,1,1,,2,1,11,5,1,0,1,"wq_a16.jpg",1,1,0.03,1.24,1,11,5,1,,,,,1,"wq_b02.jpg",32,0,101,18,,,,,1,"wq_b12.jpg",0,0,0,0,,,,,,,,,101,18,,0,0,"00003080",1,1,0,0,420,0.390639990568161,204,0.520601570606232,1630
"01010300106","010103010100106","010103010100106076",1030,1,1,1,3,1,6,1352.4267578125,2,1,,,2,,,3,3,,,1,1,1,1,,1,1,,2,1,11,5,1,0.04,1,"wq_a16.jpg",2,1,0.02,2.65,1,8,30,1,,,,,1,"wq_b02.jpg",101,0,101,101,,,,,1,"wq_b12.jpg",10,0,101,10,,,,,,,,,101,101,,101,10,"00002933",1,1,20,1,429,0.130219995975494,208,0.325623601675034,1631
"01010300106","010103010100106","010103010100106088",1031,1,1,1,3,1,6,1352.4267578125,2,1,,,2,,,1,1,,,1,2,2,,,1,1,,2,1,11,5,1,0,1,"wq_a16.jpg",1,1,0,56.4,1,11,5,1,,,,,1,"wq_b02.jpg",0,0,7,101,,,,,1,"wq_b12.jpg",0,0,2,1,,,,,,,,,7,101,,2,1,"00003122",1,1,0,0,430,0.130219995975494,228,0.269915610551834,1632
"01010300106","010103010100106","010103010100106100",1032,1,1,1,3,1,6,1352.4267578125,2,1,,,2,,,2,2,,3,1,2,2,,,1,1,,2,1,11,5,1,0.08,1,"wq_a16.jpg",2,1,0.07,0.91,1,8,30,1,,,,,1,"wq_b02.jpg",101,0,101,38,,,,,1,"wq_b12.jpg",3,0,101,0,,,,,,,,,101,38,,101,0,"00003166",1,1,0,0,449,0.130219995975494,196,0.381331592798233,1633
"01010300106","010103010100106","010103010100106112",1033,1,1,1,3,1,6,1352.4267578125,2,1,,,2,,,3,2,,2,1,1,1,1,,1,1,,2,1,8,20,1,0.04,1,"wq_a16.jpg",2,1,0,12.8,1,9,10,1,,,,,1,"wq_b02.jpg",2,0,101,2,,,,,1,"wq_b12.jpg",1,0,101,0,,,,,,,,,101,2,,101,0,"00002975",1,1,0,0,387,0.390639990568161,192,0.576309621334076,1634
"01010300106","010103010100106","010103010100106124",1034,1,1,1,3,1,6,1352.4267578125,2,1,,,2,,,3,3,,,1,1,1,1,,1,1,,2,1,8,20,1,0.07,2,,,,,,,,,,1030,,,,1,"wq_b02.jpg",0,0,1,0,,,,,1,"wq_b12.jpg",14,0,101,12,,,,,,,,,1,0,,101,12,,1,,0,0,,,,,
"01010300106","010103010100106","010103010100106136",1035,1,1,1,3,1,6,1352.4267578125,2,1,,,2,,,3,2,,2,1,2,2,,,1,1,1,2,1,11,5,1,0.1,1,"wq_a16.jpg",1,1,0.09,0.38,1,11,5,1,,,,,1,"wq_b02.jpg",0,0,36,11,1,"wq_b08.jpg",0,101,1,"wq_b12.jpg",1,0,101,0,,,,,,,,,36,11,101,101,0,"00003038",1,1,0,0,446,0.260430008172989,224,0.286628007888794,1635
"01010301804","010103088801804","010103088801804004",1036,1,1,1,3,18,4,3971.76220703125,1,1,,,2,,,1,8,,4,1,2,2,,,1,1,,2,1,4,5,2,,1,"wq_a16.jpg",1,1,,29.6,1,4,5,2,,,,,1,"wq_b02.jpg",101,41,101,101,,,,,1,"wq_b12.jpg",101,79,101,101,,,,,,,,,101,101,,101,101,"00000455",1,1,6,1,602,0.0727600008249283,297.48,0.230496197938919,1329
"01010301804","010103088801804","010103088801804019",1037,1,1,1,3,18,4,3971.76220703125,1,1,,,2,,,1,8,,4,1,2,2,,,1,1,,2,1,4,5,2,,2,,,,,,,,,,1036,,,,1,"wq_b02.jpg",101,31,101,101,,,,,1,"wq_b12.jpg",101,79,101,101,,,,,,,,,101,101,,101,101,,1,,5,1,,,,,
"01010301804","010103088801804","010103088801804034",1038,1,1,1,3,18,4,3971.76220703125,1,1,,,2,,,3,5,,4,1,1,2,,,1,1,,2,1,4,5,2,,1,"wq_a16.jpg",1,1,,1.14,1,4,5,2,,,,,1,"wq_b02.jpg",20,23,101,101,,,,,1,"wq_b12.jpg",5,5,101,101,,,,,,,,,101,101,,101,101,"00000539",1,1,5,1,640,0.46654000878334,140.7,1.03361284732819,1330
"01010301804","010103088801804","010103088801804049",1039,1,1,1,3,18,4,3971.76220703125,1,1,,,2,,,1,5,,4,1,2,2,,,1,1,,2,1,4,5,2,,2,,,,,,,,,,1042,,,,1,"wq_b02.jpg",0,0,60,101,,,,,1,"wq_b12.jpg",0,0,0,9,,,,,,,,,60,101,,0,9,,1,,60,2,,,,,
"01010301804","010103088801804","010103088801804069",1042,1,1,1,3,18,4,3971.76220703125,1,1,,,2,,,2,5,,4,1,2,2,,,1,1,,2,1,4,5,2,,1,"wq_a16.jpg",1,1,,1.84,1,4,5,2,,,,,1,"wq_b02.jpg",39,0,101,101,,,,,1,"wq_b12.jpg",0,0,0,9,,,,,,,,,101,101,,0,9,"00000371",1,1,0,0,760,0.204019993543625,351.75,0.735954225063324,1331
"01010301804","010103088801804","010103088801804085",1043,1,1,1,3,18,4,3971.76220703125,1,1,,,2,,,1,5,,4,1,2,2,,,1,1,,2,1,4,5,2,,1,"wq_a16.jpg",1,1,,0.77,1,4,5,2,,,,1,1,"wq_b02.jpg",23,3,101,101,,,,,1,"wq_b12.jpg",0,1,0,101,1,"wq_b18.jpg",0,0,0,0,4,1,101,101,,0,101,"00000413",1,1,40,2,735,0.46654000878334,402,0.163101807236671,1332
"01010301804","010103088801804","010103088801804100",1044,1,1,1,3,18,4,3971.76220703125,1,1,,,2,,,2,5,,4,1,2,2,,,1,1,,2,1,4,5,2,,2,,,,,,,,,,1042,,,,1,"wq_b02.jpg",0,0,80,90,,,,,1,"wq_b12.jpg",0,0,0,9,,,,,,,,,80,90,,0,9,,1,,15,1,,,,,
"01010301804","010103088801804","010103088801804115",1045,1,1,1,3,18,4,3971.76220703125,1,1,,,2,,,2,8,,4,1,2,2,,,1,1,,2,1,4,5,2,,2,,,,,,,,5,2,1046,,,1,1,"wq_b02.jpg",6,101,15,101,,,,,1,"wq_b12.jpg",45,4,101,101,1,"wq_b18.jpg",0,0,0,0,4,1,15,101,,101,101,,1,,10,1,,,,,
"01010301804","010103088801804","010103088801804130",1046,1,1,1,3,18,4,3971.76220703125,1,1,,,2,,,1,8,,4,1,2,2,,,1,1,,2,1,4,5,2,,1,"wq_a16.jpg",1,1,,3.37,1,4,5,2,,,,,1,"wq_b02.jpg",51,6,101,101,,,,,1,"wq_b12.jpg",45,4,101,101,,,,,,,,,101,101,,101,101,"00000392",1,1,30,1,711,0,298.7,0.923379182815552,644
