dist_road,dist_popcenter,dist_market,dist_borderpost,dist_admctr,pop_density,af_bio_1,af_bio_8,af_bio_12,af_bio_13,af_bio_16,fsrad3_agpct,fsrad3_lcmaj,ssa_aez09,srtm,twi,srtm_5_15,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetQ_avg,wetQ_avgstart,h2015_tot,h2015_wetQ,h2015_wetQstart,eviarea_avg,evimax_avg,grn_avg,sen_avg,h2015_eviarea,h2015_evimax,h2015_grn,h2015_sen,lat_dd_mod,lon_dd_mod,household_id_1,household_id_2,household_id_3,household_id_4,household_id_5,household_id_6,household_id_7,household_id_8,household_id_9,household_id_10,household_id_11,household_id_12,household_id_13,household_id_14,household_id_15,household_id_16,household_id_17,ea_id_1,ea_id_2,ea_id_3,ea_id_4,ea_id_5,ea_id_6,ea_id_7,ea_id_8,ea_id_9,ea_id_10,ea_id_11,ea_id_12,ea_id_13,ea_id_14,
0,21,87,199,128,2000-5000,195,188,784,262,597,9,110,322,1994,13,8,1,1,4,1,1,1,4,925,758,17,1368,1108,19,46,0.432,177,257,40,0.386,173,256,14.10976082,38.47383505,1,0,1,0,3,0,1,0,1,0,0,1,0,6,0,0,0,1,0,1,0,3,0,1,0,1,0,0,1,0,6,
0,21,87,199,128,2000-5000,195,188,784,262,597,9,110,322,1994,13,8,1,1,4,1,1,1,4,925,758,17,1367,1107,19,46,0.432,177,257,40,0.386,173,256,14.10976082,38.47383505,1,0,1,0,3,0,1,0,1,0,0,1,0,6,0,0,0,1,0,1,0,3,0,1,0,1,0,0,1,0,6,
0,21,87,199,128,2000-5000,195,188,784,262,597,7,110,322,2001,13,8,1,1,4,1,1,1,4,925,758,17,1367,1107,19,46,0.432,177,257,40,0.386,173,256,14.10976082,38.47383505,1,0,1,0,3,0,1,0,1,0,0,1,0,6,0,0,0,1,0,1,0,3,0,1,0,1,0,0,1,0,6,
0,21,87,199,128,2000-5000,195,188,784,262,597,7,110,322,1994,13,8,1,1,4,1,1,1,4,925,758,17,1367,1107,19,46,0.432,177,257,40,0.386,173,256,14.10976082,38.47383505,1,0,1,0,3,0,1,0,1,0,0,1,0,6,1,0,0,1,0,1,0,3,0,1,0,1,0,0,1,0,6,
0,21,87,199,128,2000-5000,195,188,784,262,597,9,110,322,2003,13,8,1,1,4,1,1,1,4,925,758,17,1368,1108,19,46,0.432,177,257,40,0.386,173,256,14.10976082,38.47383505,1,0,1,0,3,0,1,0,1,0,0,1,0,6,1,0,0,1,0,1,0,3,0,1,0,1,0,0,1,0,6,
0,21,87,199,128,2000-5000,195,188,784,262,597,9,110,322,1992,13,8,1,1,4,1,1,1,4,925,758,17,1368,1108,19,46,0.432,177,257,40,0.386,173,256,14.10976082,38.47383505,1,0,1,0,3,0,1,0,1,0,0,1,0,6,1,0,0,1,0,1,0,3,0,1,0,1,0,0,1,0,6,
0,21,87,199,128,2000-5000,195,188,784,262,597,10,110,322,1987,15,8,1,1,4,1,1,1,4,925,758,17,1368,1108,19,46,0.432,177,257,40,0.386,173,256,14.10976082,38.47383505,1,0,1,0,3,0,1,0,1,0,0,1,0,6,1,0,0,1,0,1,0,3,0,1,0,1,0,0,1,0,6,
27,35,63,203,115,100-200,221,212,796,254,608,61,20,322,1694,15,13,1,1,5,1,1,1,5,1002,814,17,1630,1360,17,46,0.432,177,257,40,0.386,173,256,13.84408403,38.48032504,1,0,1,0,3,0,8,8,8,0,1,8,0,4,0,0,0,1,0,1,0,3,0,8,8,8,0,1,8,0,4,
27,36,63,204,115,100-200,221,212,796,254,608,70,14,322,1718,11,13,1,1,5,1,1,1,5,1001,813,17,1630,1360,17,46,0.432,177,257,40,0.386,173,256,13.84408403,38.48032504,1,0,1,0,3,0,8,8,8,0,1,8,0,4,0,0,0,1,0,1,0,3,0,8,8,8,0,1,8,0,4,
27,36,63,204,115,100-200,218,208,796,256,611,77,14,322,1735,12,8,1,1,5,1,1,1,5,999,812,17,1630,1360,17,46,0.432,177,257,40,0.386,173,256,13.84408403,38.48032504,1,0,1,0,3,0,8,8,8,0,1,8,0,4,0,0,0,1,0,1,0,3,0,8,8,8,0,1,8,0,4,
27,36,64,204,115,100-200,218,208,796,256,611,86,14,322,1749,13,8,1,1,5,1,1,1,5,999,812,17,1630,1360,17,46,0.432,177,257,40,0.386,173,256,13.84408403,38.48032504,1,0,1,0,3,0,8,8,8,0,1,8,0,4,0,0,0,1,0,1,0,3,0,8,8,8,0,1,8,0,4,
14,27,102,201,134,100-200,215,209,767,245,572,32,30,322,1712,13,8,2,1,5,1,1,1,5,862,701,18,1319,1063,18,46,0.432,177,257,40,0.386,173,256,14.26230923,38.50174451,1,0,1,0,3,0,8,8,8,0,1,8,0,4,0,0,0,1,0,1,0,3,0,8,8,8,0,1,8,0,4,
